dre:449990	no KO assigned | (RefSeq) phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:561090	K05001 potassium inwardly-rectifying channel subfamily J member 8 | (RefSeq) kcnj8, si:dkey-183c2.2, zkir6.1; potassium inwardly-rectifying channel, subfamily J, member 8
dre:100005752	K06102 cingulin | (RefSeq) cgnb, cb117, cgn, im:7137721, sb:cb117, sb:cb117., si:dkey-204a24.2; cingulin b
dre:553427	K09364 POU domain transcription factor, class 2 | (RefSeq) pou2f3, zgc:136377, zgc:158534; POU class 2 homeobox 3
dre:100002236	no KO assigned | (RefSeq) bri3, wu:fc25e01, wu:fc63g12; brain protein I3
dre:568838	K08836 STE20-like kinase [EC:2.7.11.1] | (RefSeq) slka, im:7150762, si:ch211-223p8.7, slkn, wu:fk52g01; STE20-like kinase a
dre:571990	no KO assigned | (RefSeq) si:dkey-3h2.2; si:dkeyp-4c4.1
dre:564367	no KO assigned | (RefSeq) si:ch211-233a24.2
dre:791759	K03857 phosphatidylinositol glycan, class A [EC:2.4.1.198] | (RefSeq) piga, im:6911675, zgc:56589; phosphatidylinositol glycan anchor biosynthesis, class A
dre:559710	no KO assigned | (RefSeq) tapt1; Transmembrane anterior posterior transformation protein 1 homolog-like
dre:566141	K04809 nicotinic acetylcholine receptor alpha-7 | (RefSeq) si:ch211-39a7.1
dre:548337	no KO assigned | (RefSeq) hsh2d, wu:fk78a10, zgc:113273; hematopoietic SH2 domain containing
dre:797317	no KO assigned | (RefSeq) rhbdd3, si:ch211-149d1.4; rhomboid domain containing 3
dre:554561	K03175 TNF receptor-associated factor 6 [EC:2.3.2.27] | (RefSeq) traf6, fi15f02, wu:fi15f02, zgc:63704; TNF receptor-associated factor 6
dre:100192212	K00670 N-alpha-acetyltransferase 30 [EC:2.3.1.256] | (RefSeq) naa30, zgc:194204; N(alpha)-acetyltransferase 30, NatC catalytic subunit
dre:550476	no KO assigned | (RefSeq) zgc:110366
dre:562801	K00565 mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56] | (RefSeq) rnmt, im:6910566, si:ch211-105d11.3, wu:fi09c12; RNA (guanine-7-) methyltransferase
dre:566642	K13084 phosphatidylinositol-4,5-bisphosphate 4-phosphatase [EC:3.1.3.78] | (RefSeq) tmem55a, si:ch211-134n17.1; transmembrane protein 55A
dre:100101460	K07988 hematopoietic cell signal transducer | (RefSeq) hcst, dap10; hematopoietic cell signal transducer
dre:550515	no KO assigned | (RefSeq) crlf3, fd20c08, id:ibd2508, im:7137736, wu:fd20c08, zgc:110212; cytokine receptor-like factor 3
dre:100003596	no KO assigned | (RefSeq) si:ch211-286b5.5
dre:563435	no KO assigned | (RefSeq) satb2, si:ch211-223c6.1; SATB homeobox 2
dre:558034	no KO assigned | (RefSeq) xpr1b, si:dkey-60b12.7, xpr1; xenotropic and polytropic retrovirus receptor 1b
dre:563808	no KO assigned | (RefSeq) rcor3, si:ch211-284e20.6; REST corepressor 3
dre:798104	no KO assigned | (RefSeq) paqr7a, si:dkey-194c21.2; progestin and adipoQ receptor family member VII, a
dre:557416	no KO assigned | (RefSeq) si:dkey-86e18.2
dre:556459	K05724 FYVE, RhoGEF and PH domain containing 5/6 | (RefSeq) fgd6, si:dkey-183c16.1; FYVE, RhoGEF and PH domain containing 6
dre:558777	no KO assigned | (RefSeq) macc1; metastasis associated in colon cancer 1
dre:368410	K08718 rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha [EC:3.1.4.35] | (RefSeq) pde6a, si:bz1d10.3, si:rp71-1d10.3; phosphodiesterase 6A, cGMP-specific, rod, alpha
dre:338306	K00088 IMP dehydrogenase [EC:1.1.1.205] | (RefSeq) impdh1b, D3, IMPD_1b, IMPDH_1b, IMPDH1, id:ibd5035, si:dkey-31f5.7, wu:fa09h11, wu:fa99c03, zgc:113446; IMP (inosine 5'-monophosphate) dehydrogenase 1b
dre:559083	K13959 kelch-like protein 38 | (RefSeq) klhl38a, klhl38, si:dkey-5e12.1; kelch-like family member 38a
dre:768146	no KO assigned | (RefSeq) tsga10, zgc:152952; testis specific, 10
dre:569036	no KO assigned | (RefSeq) ydjc, si:ch211-89f7.6; YdjC homolog (bacterial)
dre:566205	K17936 sorting nexin-27 | (RefSeq) snx27a, si:dkeyp-39e9.2; sorting nexin family member 27a
dre:100034503	K09275 transcription factor CP2 and related proteins | (RefSeq) grhl2b, grhl2, si:dkey-21k18.2; grainyhead-like transcription factor 2b
dre:322181	K10271 F-box and leucine-rich repeat protein 5 | (RefSeq) fbxl5, wu:fb52d06; F-box and leucine-rich repeat protein 5
dre:192336	K02155 V-type H+-transporting ATPase 16kDa proteolipid subunit | (RefSeq) atp6v0ca, CHUNP6904, atp6l, atp6v0c, cb993, fb57d09, wu:fb57d09; ATPase, H+ transporting, lysosomal, V0 subunit ca
dre:406853	K09048 cyclic AMP-responsive element-binding protein 3 | (RefSeq) creb3l3l, creb3l3, wu:fj05f07, zgc:66452; cAMP responsive element binding protein 3-like 3 like
dre:561206	K04912 potassium channel subfamily K member 1 | (RefSeq) kcnk1b, si:ch211-67f13.6; potassium channel, subfamily K, member 1b
dre:554129	K07023 putative hydrolases of HD superfamily | (RefSeq) hddc2, fb71h08, wu:fb71h08, zgc:112330; HD domain containing 2
dre:566657	K19951 TBC1 domain family member 8/9 | (RefSeq) tbc1d8b, wu:fc28a09; si:dkey-110k5.6
dre:565335	K15101 solute carrier family 25 (mitochondrial ornithine transporter) member 2/15 | (RefSeq) slc25a15b, si:ch211-137i24.11; solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15b
dre:557030	no KO assigned | (RefSeq) si:ch211-282j17.10
dre:562399	K01513 ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9] | (RefSeq) enpp1, si:ch211-142e24.2, zgc:136238; ectonucleotide pyrophosphatase/phosphodiesterase 1
dre:553368	K00567 methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63] | (RefSeq) mgmt; O-6-methylguanine-DNA methyltransferase
dre:449654	no KO assigned | (RefSeq) sdhaf3, acn9, zgc:92826; succinate dehydrogenase complex assembly factor 3
dre:100141350	no KO assigned | (RefSeq) crp3, si:ch211-234p6.12; C-reactive protein 3
dre:553484	no KO assigned | (RefSeq) moxd1l, moxd1, moxd2, si:ch211-203k16.5, si:dkeyp-70e6.2, si:dkeyp-95d10.2; monooxygenase, DBH-like 1, like
dre:100151416	K06625 cyclin-dependent kinase inhibitor 1A | (RefSeq) cdkn1a, cip1, p21, si:ch1073-48m5.2, waf1; cyclin-dependent kinase inhibitor 1A
dre:561238	K18798 peroxisome-assembly ATPase [EC:3.6.4.7] | (RefSeq) lace1a; lactation elevated 1a
dre:566470	K20012 growth differentiation factor 6 | (RefSeq) gdf6a, rdr, sb:cb278; growth differentiation factor 6a
dre:550498	no KO assigned | (RefSeq) iscub, wu:fj08f02, zgc:110331; iron-sulfur cluster assembly enzyme b
dre:554886	K12735 peptidyl-prolyl cis-trans isomerase-like 4 [EC:5.2.1.8] | (RefSeq) ppil4, wu:fi40d03, zgc:63746; peptidylprolyl isomerase (cyclophilin)-like 4
dre:559145	K05730 guanine nucleotide exchange factor VAV | (RefSeq) vav3b, fk86g11, si:ch211-255p13.2, wu:fk86g11; vav 3 guanine nucleotide exchange factor b
dre:566643	no KO assigned | (RefSeq) lrrc14b, si:dkey-231l1.3; leucine rich repeat containing 14B
dre:791613	no KO assigned | (RefSeq) ugt2a4, si:dkey-204e18.2; UDP glucuronosyltransferase 2 family, polypeptide A4
dre:322420	K01183 chitinase [EC:3.2.1.14] | (RefSeq) chia.6, fb60f06, wu:fb60f06, zgc:65788; chitinase, acidic.6
dre:566679	no KO assigned | (RefSeq) maneal; si:ch211-30b16.2
dre:503902	K11445 lysine-specific demethylase 7A [EC:1.14.11.-] | (RefSeq) kdm7ab, DrKDM7b, im:7141664, jhdm1db; lysine (K)-specific demethylase 7Ab
dre:561754	K12035 tripartite motif-containing protein 71 [EC:2.3.2.27] | (RefSeq) trim71, cb205, fb93a12, lin41, sb:cb205, wu:fb93a12; tripartite motif containing 71, E3 ubiquitin protein ligase
dre:562521	K17701 signal-induced proliferation-associated 1 like protein 1 | (RefSeq) sipa1l1, cb600, id:ibd5092, sb:cb600, si:ch211-106p8.1, wu:fc43g06; signal-induced proliferation-associated 1 like 1
dre:445027	K12160 small ubiquitin-related modifier | (RefSeq) sumo2b, sumo2, zgc:92241; small ubiquitin-like modifier 2b
dre:565200	no KO assigned | (RefSeq) stat2, wu:fj84d07; signal transducer and activator of transcription 2
dre:553364	no KO assigned | (RefSeq) iqca1, iqca, si:dkey-96h14.1; IQ motif containing with AAA domain 1
dre:100002072	K10661 E3 ubiquitin-protein ligase MARCH6 [EC:2.3.2.27] | (RefSeq) march6, fa98a02, im:7161807, si:dkey-40c17.2, wu:fa98a02; membrane-associated ring finger (C3HC4) 6
dre:566703	no KO assigned | (RefSeq) znf395b, si:ch211-63o20.5; zinc finger protein 395b
dre:571331	K12804 proline-serine-threonine phosphatase interacting protein 1 | (RefSeq) pstpip1a, si:dkey-24l11.5; proline-serine-threonine phosphatase interacting protein 1a
dre:100003801	K16454 centriole, cilia and spindle-associated protein | (RefSeq) ccsapb, ccsap, csap, si:dkey-162b3.6; centriole, cilia and spindle-associated protein b
dre:563122	no KO assigned | (RefSeq) marveld2b, im:7137060, si:ch211-214j8.5; MARVEL domain containing 2b
dre:619256	no KO assigned | (RefSeq) acbd7, zgc:114176; acyl-CoA binding domain containing 7
dre:322482	no KO assigned | (RefSeq) adh8a, wu:fb62f02, zgc:66178, zgc:77878; alcohol dehydrogenase 8a
dre:566487	no KO assigned | (RefSeq) gbgt1l2, si:dkey-110k5.9; globoside alpha-1,3-N-acetylgalactosaminyltransferase 1, like 2
dre:791981	no KO assigned | (RefSeq) rrnad1, zgc:110579; ribosomal RNA adenine dimethylase domain containing 1
dre:100148477	K12163 AN1-type zinc finger and ubiquitin domain-containing protein 1 | (RefSeq) zfand4, si:dkey-194n13.3; zinc finger, AN1-type domain 4
dre:564534	K08290 Fas-activated serine/threonine kinase [EC:2.7.11.8] | (RefSeq) fastk, si:dkeyp-73d8.3; Fas-activated serine/threonine kinase
dre:560232	no KO assigned | (RefSeq) novel nacht domain containing protein
dre:324468	K20031 palmitoyltransferase ZDHHC6 [EC:2.3.1.225] | (RefSeq) zdhhc6, fc30b09, wu:fa04d12, wu:fc30b09; zinc finger, DHHC-type containing 6
dre:553547	K01304 pyroglutamyl-peptidase [EC:3.4.19.3] | (RefSeq) pgpep1, im:6904079, zgc:109902; pyroglutamyl-peptidase I
dre:563056	K06106 cortactin | (RefSeq) hcls1, si:dkey-9a20.6, wu:fk96b08, zgc:154014; hematopoietic cell-specific Lyn substrate 1
dre:569072	K14442 ATP-dependent RNA helicase DHX36 [EC:3.6.4.13] | (RefSeq) dhx36, si:dkey-119o24.1; DEAH (Asp-Glu-Ala-His) box polypeptide 36
dre:393760	K04534 guanine nucleotide-binding protein G(o) subunit alpha | (RefSeq) gnao1a, gnao1, wu:fq26h05, zgc:73315; guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O, a
dre:406769	K19911 synaptotagmin-11 | (RefSeq) syt11a, fc52d10, fi68d01, syt11, wu:fc52d10, wu:fi68d01, zgc:55556; synaptotagmin XIa
dre:571352	K08803 death-associated protein kinase [EC:2.7.11.1] | (RefSeq) dapk2a, dapk2, zgc:171281; death-associated protein kinase 2a
dre:404622	no KO assigned | (RefSeq) camlg, zgc:77424; calcium modulating ligand
dre:100145909	K12892 splicing factor, arginine/serine-rich 3 | (RefSeq) srsf3b, sfrs3, sfrs3b, wu:fb44e08; serine/arginine-rich splicing factor 3b
dre:799957	K17852 cytochrome P450 family 2 subfamily AA/AD | (RefSeq) cyp2ad6, cyp2j29, si:dkey-183n20.12; cytochrome P450, family 2, subfamily AD, polypeptide 6
dre:794323	no KO assigned | (RefSeq) si:ch211-281g13.4
dre:415100	K04469 nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 | (RefSeq) nfkb2, p100, wu:fa03b02, zgc:136693; nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
dre:436647	K00140 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27] | (RefSeq) aldh6a1, cb850, wu:fb03a04, zgc:92082; aldehyde dehydrogenase 6 family, member A1
dre:407698	K19496 anoctamin-1 | (RefSeq) ano1; anoctamin 1, calcium activated chloride channel
dre:556043	no KO assigned | (RefSeq) aftpha, CH73-131E21.7, fb71f09, si:ch73-131e21.7, wu:fb71f09; aftiphilin a
dre:561247	no KO assigned | (RefSeq) shda, si:ch211-137c4.3; Src homology 2 domain containing transforming protein D, a
dre:100006320	K00699 glucuronosyltransferase [EC:2.4.1.17] | (RefSeq) ugt2a1; UDP glucuronosyltransferase 2 family, polypeptide A1
dre:334474	K14650 transcription initiation factor TFIID subunit 3 | (RefSeq) taf3, fi76b06, wu:fi76b06, zgc:136280; TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated facto
dre:563560	K07209 inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10] | (RefSeq) ikbkb; inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
dre:100003386	no KO assigned | (RefSeq) si:ch211-254n4.3
dre:555601	no KO assigned | (RefSeq) ccdc151, zgc:152917; coiled-coil domain containing 151
dre:565637	no KO assigned | (RefSeq) fgl2a, fgl2, si:ch211-276e22.3, wu:fj83c10, zgc:136619; fibrinogen-like 2a
dre:436762	K00237 succinate dehydrogenase (ubiquinone) membrane anchor subunit | (RefSeq) sdhda, cybS-A, sdhdb, zgc:92857; succinate dehydrogenase complex, subunit D, integral membrane protein a
dre:541489	K14394 low molecular weight phosphotyrosine protein phosphatase [EC:3.1.3.2 3.1.3.48] | (RefSeq) acp1, im:6910498, zgc:110844; acid phosphatase 1, soluble
dre:559149	K08077 UDP-sugar diphosphatase [EC:3.6.1.45] | (RefSeq) nudt14, si:dkey-77p13.2, zgc:153127; nudix (nucleoside diphosphate linked moiety X)-type motif 14
dre:558456	K11478 protein Jumonji | (RefSeq) jarid2b, si:dkey-211c3.1; jumonji, AT rich interactive domain 2b
dre:100150568	K11980 E3 ubiquitin-protein ligase RNF11 | (RefSeq) rnf11b, zgc:114095; ring finger protein 11b
dre:436709	K06693 26S proteasome non-ATPase regulatory subunit 9 | (RefSeq) psmd9, wu:fb30g07, zgc:92643; proteasome 26S subunit, non-ATPase 9
dre:553943	no KO assigned | (RefSeq) lrit1a, lrit1, lrrc21, zgc:112140; leucine-rich repeat, immunoglobulin-like and transmembrane domains 1a
dre:100136853	K05283 phosphatidylinositol glycan, class W [EC:2.3.-.-] | (RefSeq) pigw, zgc:175274; phosphatidylinositol glycan anchor biosynthesis, class W
dre:437021	no KO assigned | (RefSeq) tspan36, sb:cb666, zgc:100919; tetraspanin 36
dre:794786	no KO assigned | (RefSeq) ifit14, IFIT17A, si:dkey-116m16.3; interferon-induced protein with tetratricopeptide repeats 14
dre:557946	K16580 SLAIN motif-containing protein 1/2 | (RefSeq) slain2, si:dkey-90m5.3; SLAIN motif family, member 2
dre:563266	K13211 GC-rich sequence DNA-binding factor | (RefSeq) zgc:158234
dre:557996	no KO assigned | (RefSeq) dnm3a, dnm3, si:dkey-19f21.3; dynamin 3a
dre:100006660	no KO assigned | (RefSeq) plppr5a, lppr5a, si:dkey-108c13.2; phospholipid phosphatase related 5a
dre:337084	K12757 myosin regulatory light chain 12 | (RefSeq) myl12.2, fa97a12, si:dkey-216e9.5, wu:fa97a12; myosin, light chain 12, genome duplicate 2
dre:570302	no KO assigned | (RefSeq) tmem71; si:ch211-235o23.1
dre:437026	no KO assigned | (RefSeq) ccdc103, smh, zgc:100838; coiled-coil domain containing 103
dre:571915	no KO assigned | (RefSeq) si:dkey-9i23.16
dre:570867	K06849 proteoglycan peptide core protein | (RefSeq) srgn, fk86b08, si:dkey-226b20.6, wu:fk86b08; serglycin
dre:561627	K08180 MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 3 | (RefSeq) MCT4, MCT4a; si:ch211-234h8.7
dre:791894	K11479 aurora kinase B [EC:2.7.11.1] | (RefSeq) aurkb, CHUNP6896, aurB, cei, fa09g06, stka, wu:fa09g06, wu:fd02h12; aurora kinase B
dre:406418	K13210 far upstream element-binding protein | (RefSeq) fubp1, wu:fa92h11, wu:fb24h11, wu:fc26f06, zgc:66046; far upstream element (FUSE) binding protein 1
dre:100034387	no KO assigned | (RefSeq) sphkap, si:dkey-223n17.6, si:dkey-99o15.1; SPHK1 interactor, AKAP domain containing
dre:322927	no KO assigned | (RefSeq) asb12a, asb12, wu:fb77b07; ankyrin repeat and SOCS box-containing 12a
dre:402837	no KO assigned | (RefSeq) hamp, hamp1, hamp2; hepcidin antimicrobial peptide
dre:794707	no KO assigned | (RefSeq) syt11b; synaptotagmin XIb
dre:445074	no KO assigned | (RefSeq) cmtm3, zgc:91863; CKLF-like MARVEL transmembrane domain containing 3
dre:562772	K08747 solute carrier organic anion transporter family, member 1C | (RefSeq) slco1c1, si:dkey-217k21.8; solute carrier organic anion transporter family, member 1C1
dre:406487	K04482 DNA repair protein RAD51 | (RefSeq) rad51, wu:fb38e12, zgc:77754; RAD51 recombinase
dre:414272	K06847 RGM domain family | (RefSeq) rgma, dlm, hfe2, id:ibd2030, rgmc, wu:fb72h09, zgc:110534; repulsive guidance molecule family member a
dre:100005416	K04261 prostaglandin E receptor 4 | (RefSeq) ptger4b, si:dkey-204l11.6; prostaglandin E receptor 4 (subtype EP4) b
dre:335380	no KO assigned | (RefSeq) fj08a04, si:ch211-243o19.7, wu:fj08a04; si:dkey-33c12.3
dre:445233	K00027 malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38] | (RefSeq) me2, zgc:100941; malic enzyme 2, NAD(+)-dependent, mitochondrial
dre:368419	no KO assigned | (RefSeq) ccdc80, CL2, SSG-1, si:bz20i5.2, ssg1, zgc:113236; coiled-coil domain containing 80
dre:561940	no KO assigned | (RefSeq) limch1a, si:ch211-157h5.2; LIM and calponin homology domains 1a
dre:100005300	K15451 tRNA wybutosine-synthesizing protein 4 [EC:2.1.1.290 2.3.1.231] | (RefSeq) lcmt2, si:ch211-194d6.3, wu:fi38a08; leucine carboxyl methyltransferase 2
dre:556706	K19332 Meckel syndrome type 1 protein | (RefSeq) mks1, si:dkey-189h5.2, wu:fc54h05, zgc:153149; Meckel syndrome, type 1
dre:571210	K17425 large subunit ribosomal protein L44 [EC:3.1.26.-] | (RefSeq) mrpl44, zgc:114114; mitochondrial ribosomal protein L44
dre:555268	K18180 cytochrome c oxidase assembly factor 7 | (RefSeq) coa7, selrc1, si:ch211-11m18.2, zgc:136252; cytochrome c oxidase assembly factor 7
dre:559638	no KO assigned | (RefSeq) mkl1b, fb39e12, wu:fb39e12; megakaryoblastic leukemia (translocation) 1b
dre:322060	K06630 14-3-3 protein epsilon | (RefSeq) ywhae1, fe38c12, wu:fb48f06, wu:fe38c12, wu:fi22e10, ywhae, zgc:55377, zgc:77062; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 1
dre:321051	K11826 AP-2 complex subunit mu-1 | (RefSeq) ap2m1a, Ap2m1, cb34, dpy-23, sb:cb34, wu:fa97a10, zgc:55711, zgc:85653; adaptor-related protein complex 2, mu 1 subunit, a
dre:565106	K01367 calpain-1 [EC:3.4.22.52] | (RefSeq) capn1b, si:ch211-203k12.4, si:dkeyp-101g1.3; calpain 1, (mu/I) large subunit b
dre:559126	no KO assigned | (RefSeq) tmem8a, si:dkeyp-75b4.6; transmembrane protein 8A
dre:570926	no KO assigned | (RefSeq) lzts2a, lzts2, si:dkey-250a11.1; leucine zipper, putative tumor suppressor 2a
dre:100317496	no KO assigned | (RefSeq) lonrf1l, si:dkey-258f14.5; LON peptidase N-terminal domain and ring finger 1, like
dre:100002928	K16848 Ras GTPase-activating-like protein IQGAP1 | (RefSeq) iqgap1, im:7152854, im:7156663; IQ motif containing GTPase activating protein 1
dre:325906	no KO assigned | (RefSeq) ttpa, wu:fd44e05, zgc:66361; tocopherol (alpha) transfer protein
dre:560032	K02353 segment polarity protein dishevelled | (RefSeq) dvl1b, dvl1, dvl2l; dishevelled segment polarity protein 1b
dre:449655	K02148 V-type H+-transporting ATPase subunit C | (RefSeq) atp6v1c1b, atp6v1c1l, si:zc215i13.2, zgc:92684; ATPase, H+ transporting, lysosomal, V1 subunit C1b
dre:553083	K07002 uncharacterized protein | (RefSeq) rbbp9, im:7247963, si:ch211-258l4.7, zgc:152807; retinoblastoma binding protein 9
dre:567959	K20002 SNARE-associated protein Snapin | (RefSeq) snapin, si:dkey-222b8.2; SNAP-associated protein
dre:100000992	K03967 NADH dehydrogenase (ubiquinone) 1 subunit C1 | (RefSeq) ndufc1; si:ch211-235e9.6
dre:334362	K14544 U3 small nucleolar RNA-associated protein 22 | (RefSeq) nol6, wu:fi43b02; nucleolar protein 6 (RNA-associated)
dre:558075	no KO assigned | (RefSeq) wdr37, im:7144367, wu:fj52e09; WD repeat domain 37
dre:406589	no KO assigned | (RefSeq) tmub1, wu:fa98b10, zgc:77146; transmembrane and ubiquitin-like domain containing 1
dre:563732	no KO assigned | (RefSeq) uts1, si:ch211-243j20.4, ucn, wu:fq17a01; urotensin 1
dre:562434	K14948 polypyrimidine tract-binding protein 2 | (RefSeq) ptbp2b, im:7153495, ptbp2, si:ch211-160l17.2, wu:fa08f05, wu:fc05d10; polypyrimidine tract binding protein 2b
dre:563353	no KO assigned | (RefSeq) fa99a09, wu:fa99a09; si:ch211-106n13.3
dre:100150029	K04082 molecular chaperone HscB | (RefSeq) si:ch211-207k7.4
dre:541409	K17279 receptor expression-enhancing protein 5/6 | (RefSeq) zgc:101744
dre:436928	K11318 ataxin-7 | (RefSeq) atxn7l2b, atxn7l2, wu:fi36e12, zgc:92454; ataxin 7-like 2b
dre:559425	K04726 BH3 interacting domain death agonist | (RefSeq) bida, bid, si:ch211-238n5.6; BH3 interacting domain death agonist
dre:30572	K07936 GTP-binding nuclear protein Ran | (RefSeq) ran, fc16b04, wu:fc16b04; RAN, member RAS oncogene family
dre:100000463	no KO assigned | (RefSeq) si:ch211-170d8.5
dre:561786	no KO assigned | (RefSeq) atp6ap1lb, im:7140293, si:ch211-222g5.3; ATPase, H+ transporting, lysosomal accessory protein 1-like b
dre:553464	no KO assigned | (RefSeq) hdhd3, si:ch211-10e8.6, zgc:136363, zgc:158529; haloacid dehalogenase-like hydrolase domain containing 3
dre:334971	no KO assigned | (RefSeq) calcoco1a, calcoco1, fa11a10, wu:fa11a10; calcium binding and coiled-coil domain 1a
dre:562991	no KO assigned | (RefSeq) rbm47, si:ch211-241e15.2, wu:fj94a03; RNA binding motif protein 47
dre:799690	K12854 pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13] | (RefSeq) snrnp200, fb63a09, si:ch211-251j10.5, wu:fb63a09; small nuclear ribonucleoprotein 200 (U5)
dre:791150	no KO assigned | (RefSeq) gripap1, zgc:158787; GRIP1 associated protein 1
dre:321796	no KO assigned | (RefSeq) wrap53, fb34f12, wu:fb34f12, wu:fi26g08; WD repeat containing, antisense to TP53
dre:553253	no KO assigned | (RefSeq) tmem55bb, si:ch211-243g6.4; transmembrane protein 55Bb
dre:564794	no KO assigned | (RefSeq) wdr26b, si:ch211-153j24.6, wdr26, wu:fc89f06, wu:fk83a10; WD repeat domain 26b
dre:559444	no KO assigned | (RefSeq) si:dkey-117n7.5
dre:567288	no KO assigned | (RefSeq) rab3da, fi17a03, rab3d, wu:fi17a03; RAB3D, member RAS oncogene family, a
dre:751713	K10845 TFIIH basal transcription factor complex TTD-A subunit | (RefSeq) gtf2h5, si:dkey-12h9.4, zgc:153434; general transcription factor IIH, polypeptide 5
dre:797213	no KO assigned | (RefSeq) si:ch211-42i9.8
dre:100384900	no KO assigned | (RefSeq) ugt2a3, zgc:112491; UDP glucuronosyltransferase 2 family, polypeptide A3
dre:570866	K09680 type II pantothenate kinase [EC:2.7.1.33] | (RefSeq) pank2, zgc:158667; pantothenate kinase 2
dre:100003654	no KO assigned | (RefSeq) si:dkey-58f10.11
dre:768125	no KO assigned | (RefSeq) zgc:153990
dre:794385	no KO assigned | (RefSeq) wu:fa07b04; si:dkey-75a21.2
dre:100005700	no KO assigned | (RefSeq) stim1b, si:ch211-112l17.2, stim1; stromal interaction molecule 1b
dre:324681	K07863 Ras homolog gene family, member G | (RefSeq) rhogc, fc38a11, wu:fc38a11, zgc:55563; ras homolog gene family, member Gc
dre:323645	no KO assigned | (RefSeq) pdcl, fc06a08, im:6793474, wu:fc06a08, zgc:73264; phosducin-like
dre:558474	K19410 inner nuclear membrane protein Man1 | (RefSeq) lemd3, im:7158446, si:dkey-6a5.6, wu:fb34b12; LEM domain containing 3
dre:100007322	K18040 tyrosine-protein phosphatase non-receptor type 23 [EC:3.1.3.48] | (RefSeq) ptpn23a, ptp23a, si:dkey-201i6.7; protein tyrosine phosphatase, non-receptor type 23, a
dre:436652	K01510 apyrase [EC:3.6.1.5] | (RefSeq) entpd8, si:ch211-10e8.4, zC10E8.4, zgc:92065; ectonucleoside triphosphate diphosphohydrolase 8
dre:559473	K11834 ubiquitin carboxyl-terminal hydrolase 44/49 [EC:3.4.19.12] | (RefSeq) usp49, si:rp71-11b17.7; ubiquitin specific peptidase 49
dre:558080	K02963 small subunit ribosomal protein S18 | (RefSeq) mrps18a, si:ch211-117l16.3, zgc:152724; mitochondrial ribosomal protein S18A
dre:100148503	K03172 TNF receptor-associated factor 1 | (RefSeq) traf1; TNF receptor-associated factor 1
dre:541521	no KO assigned | (RefSeq) casp8ap2, FLASH, fc74h10, wu:fc74h10, zgc:113449; caspase 8 associated protein 2
dre:100034406	K07418 cytochrome P450 family 2 subfamily J [EC:1.14.14.1] | (RefSeq) cyp2p7, cyp2j24, si:dkey-183n20.6; cytochrome P450, family 2, subfamily P, polypeptide 7
dre:554960	K14011 UBX domain-containing protein 6 | (RefSeq) ubxn6, ubxd1, wu:fi13b03, zgc:66492; UBX domain protein 6
dre:555053	no KO assigned | (RefSeq) fhl3b, fb09g09, wu:fb09g09, zgc:63514; four and a half LIM domains 3b
dre:100007877	no KO assigned | (RefSeq) ap1g2, si:zc14a17.4, wu:fc07e03; adaptor-related protein complex 1, gamma 2 subunit
dre:445075	K20818 KxDL motif-containing protein 1 | (RefSeq) kxd1, zgc:91862; KxDL motif containing 1
dre:368909	K10808 ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1] | (RefSeq) rrm2b, fb72h01, fb93b05, rrm2, si:zc215i13.5, wu:fb72h01, wu:fb93b05; ribonucleotide reductase M2 b
dre:564551	K14570 RNA exonuclease 1 [EC:3.1.-.-] | (RefSeq) rexo1, fb77b11, si:dkey-45m5.5, wu:fb77b11; REX1, RNA exonuclease 1 homolog
dre:567336	no KO assigned | (RefSeq) iqch, si:dkey-246a16.2; IQ motif containing H
dre:393908	K10373 tropomyosin 1 | (RefSeq) tpm1, Tm1, zgc:171719, zgc:55951, zgc:77009; tropomyosin 1 (alpha)
dre:58119	K12968 double-stranded RNA-specific adenosine deaminase [EC:3.5.4.37] | (RefSeq) adar, drada, red1, wu:fc22a02; adenosine deaminase, RNA-specific
dre:100034410	no KO assigned | (RefSeq) rmdn3, fam82a2, fam82c, si:dkey-199i12.5, zRMD-1; regulator of microtubule dynamics 3
dre:393758	no KO assigned | (RefSeq) pde6h, zgc:73310; phosphodiesterase 6H, cGMP-specific, cone, gamma
dre:794173	no KO assigned | (RefSeq) si:ch211-130m23.2
