path:cel00523	Polyketide sugar unit biosynthesis	C14F11.6 F53B1.4 
path:cel00970	Aminoacyl-tRNA biosynthesis	C06B8.t1 R11B5.t3 Y51H7BR.t1 T01B4.t1 M01E5.t1 F28H6.t3 E03E2.2 F38E9.7 Y65A5A.t2 F42H10.10 C49F5.t1 tRNA-Cys rars-1 Y37A1B.t1 T21H8.t1 F11H8.t1 C06G1.t1 T01C1.t1 F43C9.t1 ZK970.t2 R09E10.t1 M03A1.12 F11A5.20 Y105C5B.t2 T10B10.t2 F28H6.9 ZK994.t2 Unclassified non-coding RNA B0395.10 ZK507.t1 K07C10.t1 K02A4.t1 H08J11.5 F57G8.12 C52E12.8 Y92C3A.5 F27E11.t1 F35A5.t1 Y37F4.t1 Unclassified non-coding RNA B0244.13 Y46G5A.t1 Y105C5A.t2 Y95B8A.13 F01G12.15 F45G2.12 F15G9.9 Y73F8A.t3 C16D9.12 Y54G2A.70 T23F1.t1 F15B9.t1 H08J11.6 tRNA-Leu F41D9.t4 Y25C1A.t1 pars-1 F22F1.7 F38E9.t1 F45G2.t1 W06G6.t1 Unclassified non-coding RNA B0523.6 F42A10.t1 C25F6.t4 C12C8.t3 Y43F4A.6 K08H2.t1 C16H3.6 T10B10.13 T28C12.t1 T23F1.8 T01B4.7 ZK563.8 dars-1 M02F4.t1 F11A1.t2 ZK783.t1 F28F8.t3 C39D10.14 C02B4.t1 Unclassified non-coding RNA B0285.16 Y32B12B.t2 Y73B3A.t1 K01A12.t2 R03E1.5 K06A4.13 F13G11.145 Unclassified non-coding RNA B0212.7 Y60C6A.t1 lars-1 C06E4.20 F56F4.10 W09D6.t2 T01B4.8 C56G7.4 C12C8.7 tRNA-Ala F56D12.t4 F41D9.t1 C06G4.t1 T22A3.t4 Y7A9D.t3 Y40H7A.t1 W02G9.t2 T06H11.t2 K11E4.11 F56C11.t1 Y73F8A.t1 F47G6.t1 Y92C3A.t2 F23G4.t1 F22F1.t6 K02A4.t2 H08J11.t3 ZK970.t1 Unclassified non-coding RNA Y73F8A.1171 T28F2.t1 F16F9.t1 C29F7.t3 K04A8.t2 H06A10.t1 F14B8.t1 R04D3.t3 F38G1.t2 C16C8.t1 F49D11.t2 qars-1 F55G7.t1 C56G3.3 wars-1 F49C5.t1 M163.20 Y105C5B.t3 C14B9.14 H08J11.7 F49E11.t2 Y51H4A.t1 Y4C6B.t1 Y69A2AR.t2 Y7A5A.t2 C16B8.t3 W02G9.t1 Y116F11A.t1 C12C8.t4 Y57G11B.t1 K04A8.t3 W09G10.t2 ZK617.10 F12D9.t2 B0212.t1 C28G1.t3 C05C9.t1 C43G2.t2 ZK154.t1 Y39B6A.t10 R11B5.8 F59C12.11 T10B10.t1 C15C6.t1 T23F1.t2 Y95D11A.t1 C06B8.t3 F42A10.12 C05E7.t3 C16H3.t1 Y7A5A.18 K08E7.t1 F32A6.t1 F42H10.t1 T04D3.10 F44A2.t1 ZC412.t1 F28F8.11 ZK380.t1 Y43D4A.t2 F57G12.t1 F12D9.t6 T23F1.9 tRNA-Trp R148.t1 K02A4.4 K11E4.t3 F35H8.10 F22F1.8 Y75D11A.t2 sup-7 Y22D7AL.t3 F11A1.t1 C14F11.16 sup-24 F52E10.7 glp-4 R11.7 F42G10.t1 F08F1.t2 C28G1.7 sars-1 Y7A9D.63 ZK678.t3 Y65A5A.t1 C01C4.5 R04B3.t1 F28F8.t1 K01A12.t3 F22F1.t9 T09B4.t1 F22F1.t1 W06D4.t1 C06B8.15 tRNA-Met K02E2.15 C30E1.t1 Y105C5B.t1 T15B12.t1 K09C8.t1 C04C11.8 rte-2 H08J11.11 C38C6.9 K08B5.4 F14B4.t2 C11E4.t1 C25F6.t3 T22A3.11 F42A10.t2 K11H3.9 C44B7.t1 F49C5.t2 W06G6.18 F22G12.t1 C04E7.t1 F48E3.t1 C04F2.t1 F28H6.t6 rtw-6 C56G7.t1 C35E7.t1 F28H6.t1 K02A4.9 T19C4.19 F39B1.t1 fars-2 K01A12.9 C16H3.7 K05G3.t1 F56F10.t1 wdr-81 Y32B12B.t1 F55G7.t2 ZC412.t2 R04D3.t4 F49E7.t1 C12C8.t5 F40H6.t1 K01A11.6 rte-4 F32B4.t1 K11E4.t4 F41D9.6 T04D3.t3 H35N09.4 Y39G10AL.t1 W03C9.t1 C06G1.t3 F10C1.t2 ears-2 C05E7.t2 Y105C5B.t4 K11H3.t1 F52E10.t2 C05G6.t1 F08F1.t3 K08B5.t1 ZK154.t2 Unclassified non-coding RNA Y105C5B.1415 C48C5.t3 F55F3.8 F43C9.5 F11A5.t1 F15A8.t1 F08F1.19 R09E10.15 F59C12.7 dars-2 K01A12.5 F17H10.t1 F52E10.t1 C42D8.t1 F08G5.21 Y95D11A.4 F33D11.14 F57G8.t1 F53F8.10 F49D11.12 B0350.t1 F53F8.t1 Y57G11C.t1 C15C6.5 C48C5.t2 D1009.t2 Y4C6B.t2 sup-21 T01B4.6 K11C4.t1 F22F1.9 Y7A5A.t3 C18D4.t1 tars-1 K11H3.t2 T01B4.t3 F18G5.t1 W10G11.t2 C16B8.t1 T07D10.t1 T16D1.t1 F12D9.t3 F14F7.t1 Y37B11A.t2 F42A10.11 C47E8.t1 C40H5.t1 F22H10.t1 Y76A2B.t1 F49E2.t1 H08J11.t5 R04E5.t1 rtw-5 T04F8.15 Y92H12A.t1 C06G1.11 R03E1.t1 F08G5.18 F30F8.t1 F35A5.10 F23D12.t1 C16D9.t3 F42D1.t1 C37A5.t1 F02D10.t2 lars-2 F41D9.t3 ZK678.t4 T22A3.t2 F28F5.t1 C26G2.t1 C10G8.t1 Y51H4A.t4 F12D9.18 Y51H4A.t3 Y119D3B.24 F31E9.t1 K03H6.t1 Y7A5A.14 rars-2 Y106G6D.t1 Y119D3B.t1 F25F6.3 tRNA-Pro Y70C5A.5 Y39A1A.29 F39B1.t2 R01H5.t1 F33D11.t2 Y69A2AR.t1 C56G3.t1 Y54G2A.t3 Y38E10A.t1 T01G1.t2 F42G10.4 F22B7.t2 F09B9.t1 R04D3.t2 F28H6.t7 F28F8.t2 B0244.t3 K03B8.18 C04F12.t1 K04C2.9 H08J11.t4 F02D10.14 R11G10.t2 Y7A9D.62 R04E5.t3 C17D12.15 R11B5.3 C16B8.t2 C16D9.13 C36F7.t3 Y66D12A.t1 F56F3.t1 Y65A5A.t3 Y59E1B.5 Unclassified non-coding RNA D1009.7 K10C8.t1 F10C1.t1 Y39B6A.t9 F57G8.t2 F57G12.t2 K02B12.t1 C05C9.7 F49D11.13 F52E10.6 C24H11.t1 F52E10.t3 F14B4.4 ZC449.10 F49E7.t2 C06G1.t2 F21A3.10 ZK678.t1 W06G6.t2 E01H11.t1 tRNA-Gln F56F4.t2 C02B4.t2 F56D12.t1 T14F9.t1 Y82E9BR.t1 F36D4.t2 Y53C10A.18 T01B4.t2 C27A2.t1 Y92C3A.t3 T22F7.t1 Y105C5A.t1 C24H11.13 C02B4.8 C53C7.6 F35H8.t1 F15A8.17 Y37E11B.t1 H08J11.13 B0244.t1 T03E6.t1 K08B5.t2 ZC132.10 C16D9.t4 T13B5.t1 Y73F8A.t4 ZK994.t1 W06G6.19 F12D9.t1 F08G5.15 R04D3.t1 ZK617.t1 Y18H1A.t1 F22B7.t1 C11G10.t1 W09D6.10 Y43F4A.t1 Y65A5A.t4 C09B9.t1 Y37B11A.5 Y43F4A.5 rte-5 Y4C6B.t3 W09D6.t1 Y39G10AL.5 T22A3.t3 F22F1.t7 T01B4.t4 Y65A5A.26 Y22D7AL.17 R11B5.t2 T21B4.t1 kars-1 K02D7.8 F28F8.t4 F02E11.t1 tRNA-His C02D4.t1 Y97E10C.t1 F49E7.t3 F08G5.t1 F36D4.t1 F11A1.11 R11G10.t1 iars-1 Y54G2A.65 C12C8.5 C48C5.t1 tRNA-Thr Y38E10A.31 W06D4.9 K01A12.t4 tRNA-Arg H08J11.t2 T14B4.t1 C06G4.7 ZK899.t1 F33D11.t1 C36F7.t2 F09B9.7 T25D1.t1 Y37A1B.334 W02G9.9 Unclassified non-coding RNA B0350.73 C43G2.t1 ZK262.t1 ZC449.t1 C05E7.t1 F23D12.t2 C16D9.14 Y51H4A.t2 T27B1.t1 F27D9.9 R04F11.t1 F54D12.t1 C03A3.t1 K04C2.t3 H35N09.t2 K07A1.19 C13B4.5 Y59E1B.t2 C31E10.t1 K09C6.t1 Y7A5A.19 ZK994.11 Unclassified non-coding RNA Y105C5A.1277 ZK994.9 R11.t1 F14B6.t2 tRNA-Phe C28G1.8 Y39B6A.81 F21C3.t1 F49C5.13 Y47C4A.t1 C53C7.t2 tRNA-Val C44B7.15 R01H5.2 T07H6.t1 D1009.t1 sup-29 T02G6.12 T05A8.t1 R02E12.t1 Y54G2A.t2 C53C7.t3 C04A2.t1 F17A2.t1 F31B12.6 Y105E8A.20 F14B4.t1 ZK262.17 T22F3.t2 T04D3.t1 F47G6.6 F52C9.t1 T09B4.t2 F55F3.6 F22F1.t5 Y73B6BL.t1 T01B4.4 F10C1.18 F22F1.t3 R04D3.14 C28G1.t2 F52E10.10 C28A5.t1 Y53C12A.t1 C14B9.t1 F15D3.t1 F58D5.t1 F29C4.t1 F22B7.16 ZK678.t2 F09B9.t2 F46G11.11 F22B7.t4 T22F3.t4 T21B4.19 K11E4.10 C37A5.12 Y37E11B.t2 Y37E11AL.16 M02F4.12 F52E10.t4 F46F2.t1 T04F8.t1 Y37B11A.4 T05A8.10 B0513.t1 T06H11.t3 Y51H4A.t6 ZK822.t1 M01E10.5 C17D12.t1 C29F4.t1 C48C5.t4 F46G11.t2 B0344.t1 F08G5.t2 R04E5.17 T14G8.t1 C06G1.t4 C16D9.t2 B0395.t1 F22B7.t5 Y39A1A.t1 Y53C10A.17 Y43F4A.t2 C28A5.t2 F49C5.15 Y53C12A.12 W09G10.t3 R04E5.t5 K04C2.t2 F08F1.t1 C03A3.8 C36C9.t2 tRNA-Gly K11E4.t1 rte-3 C37A2.t1 Y53C10A.t3 Y37F4.t2 T05H4.t2 ZK154.t5 Y57A10B.8 Y46G5A.45 F55F3.t2 ZC455.t1 fars-1 C33G3.t2 Y116F11A.9 F44A2.10 K03E6.8 F15G9.t2 F52H2.t2 Unclassified non-coding RNA B0344.4 F14H8.t1 ZK622.6 F14H8.10 F22G12.9 C17D12.t3 R04B3.t2 C39D10.t1 C52G5.t1 F55G7.6 F02D10.11 F14B6.t1 F57G8.t3 W03C9.11 M01E10.t1 C40C9.9 C40C9.t1 Y7A5A.t5 F08G5.t3 F57G8.13 F39B1.4 VW02B12L.t1 M01E5.8 Y41D4A.6 K11E4.9 K03F8.t1 F56C3.t1 C40C9.t2 F02H6.t1 tRNA-Asp K09A11.t1 K07A1.t1 T28B4.t1 Y77E11A.t3 T07H6.t2 K04C2.10 T22F3.t3 K10C8.5 C27A2.10 C14B9.t2 H35N09.t1 C18A11.t2 Unclassified non-coding RNA B0344.3 Y55F3BR.t1 Y70C5A.t1 Y55F3BR.16 T03G6.t1 secs-1 F22B7.15 Y57A10C.t1 Y49E10.32 F33D11.15 ZK154.8 T04D3.t4 F28H6.t4 R04D3.13 K01A12.t5 C10G8.9 ZC455.14 R04E5.t6 C16C8.24 F36D4.12 F46G11.t1 F52H2.t1 ZK994.10 C04A2.11 Unclassified non-coding RNA Y105C5A.1276 W06G6.t3 W02G9.7 F02D10.t3 F22F1.t4 K02D7.t1 Y54G2A.t5 C29F7.t1 T23H4.t1 F27B10.t1 C04E7.7 T09F5.t1 F18C5.t1 C28A5.10 F41A4.t1 sars-2 T27B1.3 F15G9.t1 ZK994.t3 ears-1 F34H10.7 sup-28 ZK563.t1 C33G3.t1 Y7A5A.t4 Y53C10A.16 ZC412.12 R04E5.t2 F47E1.t1 C28A5.t3 ZK970.t3 VW02B12L.t2 F55F3.t1 Y7A9D.66 K02E11.t1 F15A8.15 Y22D7AL.t4 C18A11.t1 M57.t1 F22B7.t3 tRNA-Tyr T05A8.t2 DY3.t1 F28H6.t5 F57G8.t4 rte-1 C06E4.t1 C42D8.14 K11E4.t2 F38G1.5 B0228.t1 T05H4.t1 fars-3 K12H4.t1 ZK39.t1 F15B9.14 T25E4.t1 T22A3.t1 F23A7.t1 F18G5.t2 R04E5.16 Y51H4A.t5 ZK970.10 Y7A9D.t2 K04C2.t1 F39B1.5 Y7A5A.16 yars-1 C33G3.t3 E03E2.t3 B0285.t1 F17H10.8 F59C12.9 Y34B4A.t1 C29F7.9 F54F7.t2 W07G4.t1 F12D9.t5 W01H2.t1 R04E5.t4 ZK678.10 sup-5 F10C1.16 F49C5.t3 Y25C1A.t2 K03B8.t1 Y66D12A.7 K11C4.11 H08J11.t1 ZK970.11 T18D3.t1 M03A1.t1 F36D4.10 F54F7.13 C52E12.t1 B0491.t1 C27A12.t1 F22F1.5 T25B6.10 T19C4.t1 R04E5.13 C06G1.15 F34H10.t1 F25F6.t1 ZK899.10 W02H3.t1 F56F10.10 Y53C10A.t1 F22G12.t2 M01E10.t2 C27A12.12 T25D1.t2 T08A9.15 F15A8.t2 cars-1 C18A11.13 C09G12.t1 F22F1.6 F12D9.13 F14F7.6 gars-1 T10B10.14 C52E12.t3 F41D9.15 C05C9.t2 F38E9.t2 T06H11.18 K07C10.5 Y17G9A.t1 C12C8.t1 F21A3.t2 F27B10.3 C40H5.13 Y39B6A.70 F41D9.t2 Y76A2B.t2 C14B9.13 F52H2.10 F54F7.t1 Y66D12A.29 F22F1.t2 T28B4.t2 K12H4.10 C28A5.12 Y110A2AL.t1 F22F1.t8 C25F6.t2 C25F6.23 Y54G2A.t4 F13G11.t1 F19H6.t1 F59C12.t2 C38C6.t1 F15G9.8 aars-2 K11H3.11 T25E4.3 T25B6.t1 C26G2.7 F47E1.13 ZK1067.t1 Y7A9D.t1 B0344.t3 F46G11.14 Y7A5A.15 F22H10.9 T22C1.t1 F12D9.5 K08B5.5 Unclassified non-coding RNA B0491.11 Unclassified non-coding RNA Y73F8A.1164 Y40H7A.308 C43G2.30 C48C5.6 T05A8.9 R11.t4 Y7A5A.t1 Y69A2AR.41 T02G6.t1 Y38H6A.10 T22F3.t1 C04A11.t1 T10B9.t1 ZK783.8 W09G10.t1 T25D1.4 F02H6.72 E03E2.t1 Y49E10.t1 F56F4.t1 K09C8.11 C14F11.t1 E03E2.t2 ZK154.t3 T28D6.t1 C13B4.t1 C12C8.t6 Y51B9A.t1 F41A4.3 F47E1.12 aars-1 R11B5.t1 T01C1.9 R03E1.t2 F38G1.t1 C39D10.17 C40C9.6 F54F7.12 F59C12.t1 ZK154.t4 Y40C5A.16 F47A4.t1 C48C5.7 C16B8.8 B0491.t2 K11E4.7 K11E4.t6 Y43D4A.t1 M02F4.t2 F08F1.14 M163.t2 C25F6.t1 Y92C3A.9 T28D6.t2 T08A9.t1 Unclassified non-coding RNA B0344.5 F28H6.t2 T06H11.t1 C28G1.t4 F53B6.11 mars-1 F29C4.12 F49C5.t4 ZK678.11 W03G11.t1 Y73B6BL.283 F01G12.t1 F47E1.t2 F52E10.t5 H06A10.3 C28G1.t1 C03B1.16 F25F6.t2 pars-2 ZK622.8 Y104H12A.t1 C06B8.t2 Y51H4A.t7 K02E2.t1 Y4C6B.98 C53C7.t1 K01A12.t1 Y40H7A.t2 T09B4.19 T06H11.17 Y95B8A.t1 F31B12.t1 W03H1.t1 R04E5.14 F43E12.t1 F12D9.t4 C53D6.t1 nars-1 T25B6.t2 F59C12.t3 Y47C4A.t2 K08E7.12 T28B4.14 K01A11.t1 H35N09.3 Y40H7A.309 K03F8.3 Y110A2AL.t2 F42F12.t1 F52E10.9 F56F4.11 ZK622.t1 T26C11.t1 C09B9.80 Y71H2AM.t1 T04D3.t2 F27D4.t1 Y57A10B.t1 C29F7.t2 C16H3.t2 T22C8.9 K11E4.t5 C28A5.11 H17B01.t1 R11.t3 Y51H7BR.9 C17D12.10 Y67D2.t1 F15H9.t1 R11.t2 C17D12.t2 F28F8.12 ZC132.t1 F53B6.t1 F33G12.t1 F57F5.t1 tRNA-Lys ZK970.t4 T22C8.t1 T03E6.13 Y92H12A.8 K06A4.t1 W10G11.t1 Unclassified non-coding RNA ZK1067.10 T01G1.t1 K02B12.11 Y54G2A.t1 C16C8.t2 F49D11.t1 F57F5.7 Y38H6A.t1 C39D10.t2 B0344.t2 R04D3.t5 F49E11.t1 tRNA-Asn F49C5.14 F40H6.7 C12C8.t2 
path:cel00980	Metabolism of xenobiotics by cytochrome P450	gst-5 gst-4 ugt-56 gsto-1 gst-8 W01A11.1 gst-11 ugt-61 gst-1 gst-44 gsto-2 ugt-55 gst-30 sodh-2 ugt-58 ugt-23 ugt-50 alh-5 gstk-1 sodh-1 gst-36 H24K24.3 gst-10 gst-7 ugt-48 gst-38 gst-2 ugt-46 ugt-62 C02D5.4 gst-6 gst-3 D2063.1 
path:cel03040	Spliceosome	repo-1 K04G7.11 lsm-6 C07A9.2 snrp-200 thoc-3 T12A2.7 F19F10.9 prp-8 rsp-1 T08A11.2 ddx-23 cyn-12 W03F9.10 hsp-1 prp-6 lsm-7 T13H5.4 C50D2.5 lsm-3 pqbp-1.1 T11G6.8 thoc-1 snr-1 teg-4 F26B1.2 T10C6.5 lsm-4 F08G12.2 snr-7 aly-3 mog-1 prp-4 snr-4 mog-4 hsp-70 snr-2 skp-1 rnp-4 prp-3 snu-23 mag-1 F53B7.3 sap-49 tcer-1 mog-5 rnp-7 K07C5.6 lsm-5 phf-5 uaf-1 cyn-13 mog-2 rsp-6 ddx-17 cyn-11 snr-5 F11F1.1 F33H1.3 rsp-3 smr-1 ncbp-1 uaf-2 Y65B4A.6 acin-1 rsp-2 aly-2 F58B3.7 cdc-5L M28.5 Y69A2AR.21 usp-39 prp-17 C02B10.4 ddx-15 lsm-8 plrg-1 rnp-6 snr-6 F44E5.5 F53H1.1 F44E5.4 W04D2.6 aly-1 snr-3 C50F2.3 thoc-2 WW domain-containing protein ZK1098.1 F08B4.7 prp-38 F32B6.3 F33D11.10 emb-4 prp-31 gut-2 rsp-8 prp-21 C46F11.4 rsp-4 C07H6.4 M01E11.2 M03F8.3 hrp-1 Y108G3AL.2 eftu-2 snrp-27 
path:cel02010	ABC transporters	pmp-2 pgp-9 mrp-5 pgp-11 pgp-13 haf-9 abtm-1 haf-7 pgp-2 pgp-4 pgp-12 pgp-14 haf-6 pgp-1 pgp-5 pgp-3 
path:cel00071	Fatty acid degradation	hacd-1 F54C8.1 acox-3 ech-8 acs-13 T02G5.7 alh-1 Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 acox-1 acs-15 cpt-1 F08A8.4 kat-1 ech-1.1 acdh-3 acdh-7 acdh-4 F58F9.7 acs-17 acdh-12 ech-9 ech-4 F59F4.1 acs-2 cpt-2 acox-5 acaa-2 acs-5 sodh-2 acdh-8 alh-12 sodh-1 H24K24.3 alh-4 acs-4 B0303.3 ech-1.2 F54D5.7 acs-18 alh-9 acs-16 D2063.1 acs-3 ech-6 
path:cel00910	Nitrogen metabolism	W07E11.1 bca-1 cah-5 gln-2 gdh-1 cah-6 cah-3 gln-6 gln-5 nit-1 gln-3 gln-1 
path:cel00472	D-Arginine and D-ornithine metabolism	daao-1 
path:cel00630	Glyoxylate and dicarboxylate metabolism	gcsh-1 C53A3.2 pcca-1 mdh-2 T02G5.7 R12C12.1 agxt-1 gcst-1 kat-1 aco-2 F52A8.5 K09H11.7 mdh-1 gln-5 C13B9.2 mmcm-1 pccb-1 cts-1 gln-2 K02D10.1 mel-32 dld-1 ctl-3 aco-1 ctl-2 mce-1 ctl-1 gln-6 F44E7.2 gln-1 gln-3 F41E6.5 
path:cel04320	Dorso-ventral axis formation	cpb-3 mpk-1 sem-5 fog-1 sos-1 cpb-1 mek-2 cpb-2 let-23 prg-2 sqd-1 bre-3 prg-1 let-60 bre-5 
path:cel00480	Glutathione metabolism	gst-5 gst-4 C53D5.5 gss-1 odc-1 gpx-3 gst-8 gsto-1 T03D8.6 gspd-1 rnr-1 spds-1 gst-11 gpx-1 Y38F2AR.12 gst-1 gpx-7 idh-1 idh-2 gst-44 gpx-5 E01A2.1 gsto-2 rnr-2 trxr-2 gst-30 gstk-1 C44B7.7 gst-36 gst-10 gcs-1 gst-7 gst-38 lap-2 gst-2 Y7A9A.1 C02D5.4 gpx-2 gst-6 gst-3 T25B9.9 
