dre:449990	phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:100331745	atrial natriuretic peptide receptor 2-like; K12324 atrial natriuretic peptide receptor B [EC:4.6.1.2]
dre:571789	uncharacterized LOC571789
dre:101883082	uncharacterized LOC101883082
dre:101885327	cd180, si:dkey-17k14.1; CD180 molecule; K06555 CD180 antigen
dre:103911124	uncharacterized LOC103911124
dre:100149322	mast4, si:ch73-205f10.1; microtubule associated serine/threonine kinase family member 4; K08789 microtubule-associated serine/threonine kinase [EC:2.7.11.1]
dre:100535993	interleukin-6 receptor subunit beta-like
dre:571235	pcsk5a, pc5.1, pcsk5.1, pcsk5/6a, si:dkey-267i17.1; proprotein convertase subtilisin/kexin type 5a; K08654 proprotein convertase subtilisin/kexin type 5 [EC:3.4.21.-]
dre:103911125	collagen alpha-2(XI) chain-like
dre:103911126	uncharacterized LOC103911126
dre:557447	fzd9a, fzd9, si:dkey-189h5.4; frizzled class receptor 9a; K02842 frizzled 9/10
dre:563095	mrm1, si:dkey-189h5.1; mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae); K15507 21S rRNA (GM2251-2'-O)-methyltransferase [EC:2.1.1.-]
dre:103911127	uncharacterized LOC103911127
dre:100535369	uncharacterized LOC100535369
dre:560957	si:ch211-127d4.3
dre:101886669	uncharacterized LOC101886669
dre:103911128	uncharacterized LOC103911128
dre:103911129	uncharacterized LOC103911129
dre:103911130	alpha-mannosidase 2-like
dre:565118	pja2, si:dkey-79c1.2; praja ring finger 2; K10634 E3 ubiquitin-protein ligase Praja2 [EC:2.3.2.27]
dre:103911131	uncharacterized LOC103911131
dre:565199	fer, si:dkey-190c14.1; fer (fps/fes related) tyrosine kinase; K08889 tyrosine-protein kinase Fer [EC:2.7.10.2]
dre:100535442	uncharacterized LOC100535442
dre:101886997	uncharacterized LOC101886997
dre:101887034	uncharacterized LOC101887034
dre:101882009	ensconsin-like
dre:100535520	uncharacterized LOC100535520
dre:100318255	si:ch211-69i3.3
dre:795181	si:ch211-202f5.2
dre:795321	fb57g11, wu:fb57g11; si:ch211-202f5.3
dre:101882464	uncharacterized LOC101882464
dre:569699	fi75a02; wu:fi75a02
dre:797203	c5h11orf1; chromosome 5 open reading frame, human C11orf1
dre:100333391	uncharacterized protein K02A2.6-like
dre:100333891	hepacam; hepatic and glial cell adhesion molecule
dre:100333818	ccdc15; coiled-coil domain containing 15; K16752 coiled-coil domain-containing protein 15
dre:571737	high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A-like
dre:571743	out at first protein homolog
dre:571031	arhgef12b, arhgef12, si:ch211-142p3.1, si:dkey-70k11.3; Rho guanine nucleotide exchange factor (GEF) 12b; K07532 Rho guanine nucleotide exchange factor 12
dre:566921	cell surface glycoprotein MUC18; K06534 melanoma cell adhesion molecule
dre:101884856	vps37d; vacuolar protein sorting 37 homolog D (S. cerevisiae); K12185 ESCRT-I complex subunit VPS37
dre:556406	clip2; CAP-GLY domain containing linker protein 2; K10422 CAP-Gly domain-containing linker protein 2
dre:81597	gtf2ird1, si:dkey-32e10.2, si:dkey-32e10.4-001; GTF2I repeat domain containing 1; K03121 transcription initiation factor TFII-I
dre:101885218	uncharacterized LOC101885218
dre:564995	layna, si:dkey-27p23.2; layilin a; K10077 layilin
dre:103911132	uncharacterized LOC103911132
dre:100001832	gastrula zinc finger protein XlCGF8.2DB-like
dre:101884118	rph3al; rabphilin 3A-like (without C2 domains); K19939 Rab effector Noc2
dre:100006713	doc2b; double C2-like domains, beta; K19917 double C2-like domain-containing protein beta
dre:100006732	si:ch211-209a2.2
dre:100536508	uncharacterized LOC100536508
dre:553475	alkbh4, si:dkey-261j4.10; alkB homolog 4, lysine demthylase; K10766 alkylated DNA repair protein alkB homolog 4 [EC:1.14.11.-]
dre:101883779	gastrula zinc finger protein XlCGF7.1-like
dre:100536782	rasl10b; RAS-like, family 10, member B
dre:103910307	active breakpoint cluster region-related protein-like
dre:100331123	gas2l2; growth arrest-specific 2 like 2
dre:797998	im:7138535
dre:103911133	uncharacterized LOC103911133
dre:100330645	heterogeneous nuclear ribonucleoprotein U-like protein 1; K15047 heterogeneous nuclear ribonucleoprotein U-like protein 1
dre:572297	IFIT5A; uncharacterized LOC572297
dre:570858	sympk, si:dkeyp-117b8.1; symplekin; K06100 symplekin
dre:101884515	si:dkeyp-117b8.4
dre:100148286	rsph6a; radial spoke head 6 homolog A (Chlamydomonas); K19756 radial spoke head protein 4A
dre:103911136	transcriptional-regulating factor 1-like
dre:567055	ehd2a, si:dkey-197m14.2; EH-domain containing 2a; K12469 EH domain-containing protein 2
dre:566920	akap10, fc10g11, si:dkey-197m14.4, wu:fc10g11; A kinase (PRKA) anchor protein 10; K16526 A-kinase anchor protein 10
dre:100330730	spata22; spermatogenesis associated 22
dre:100004180	transmembrane protein 211
dre:560371	active breakpoint cluster region-related protein
dre:101885179	nanos2; nanos homolog 1
dre:562343	specc1, si:dkey-13b16.2; sperm antigen with calponin homology and coiled-coil domains 1
dre:100537779	timm22; translocase of inner mitochondrial membrane 22 homolog (yeast); K17790 mitochondrial import inner membrane translocase subunit TIM22
dre:101885648	uncharacterized LOC101885648
dre:100003346	znf541, si:dkey-197m14.1; zinc finger protein 541
dre:103911137	golgin subfamily A member 6-like protein 2
dre:101885581	protein FAM57B-like
dre:100002814	protein FAM57B
dre:564054	usp2b; ubiquitin specific peptidase 2b; K11833 ubiquitin carboxyl-terminal hydrolase 2/21 [EC:3.4.19.12]
dre:561355	tecta; tectorin alpha; K18273 alpha-tectorin
dre:100332392	tbcelb, si:ch73-37h15.1; tubulin folding cofactor E-like b
dre:103908638	transcription termination factor 1-like
dre:100333053	transcription termination factor 1-like
dre:449954	im:7141282, si:ch73-376l24.4; si:ch73-37h15.2; K15225 transcription termination factor 1
dre:103911139	uncharacterized LOC103911139
dre:100334190	si:ch73-376l24.6
dre:334973	ttf1, wu:fa11a12; transcription termination factor, RNA polymerase I; K15225 transcription termination factor 1
dre:100334259	cntrl; centriolin; K16770 centriolin
dre:565774	c5; complement component 5; K03994 complement component 5
dre:100538142	gastrula zinc finger protein XlCGF7.1-like
dre:557360	rgs3b, im:7137300, si:ch211-196f15.2; regulator of G-protein signaling 3b
dre:103911140	uncharacterized LOC103911140
dre:100004265	novel protein similar to vertebrate G-protein signalling modulator 1 (AGS3-like, C. elegans) (GPSM1)
dre:103911141	uncharacterized LOC103911141
dre:101886215	uncharacterized LOC101886215
dre:101885857	centrosome-associated protein 350-like
dre:559603	qsox2; quiescin Q6 sulfhydryl oxidase 2; K10758 thiol oxidase [EC:1.8.3.2]
dre:559520	nucleus accumbens-associated protein 2-like; K10486 BTB/POZ domain-containing protein 14
dre:103911142	uncharacterized LOC103911142
dre:103911143	prostate stem cell antigen-like
dre:558010	lix1, si:ch211-236k19.8; limb and CNS expressed 1
dre:557928	lrrc8ab, si:ch211-236k19.7; leucine rich repeat containing 8 family, member Ab
dre:103911144	uncharacterized LOC103911144
dre:101882342	neuronal cell adhesion molecule-like
dre:103911145	uncharacterized LOC103911145
dre:563670	si:dkey-21e5.1; K04946 potassium channel subfamily T member 1
dre:101882662	uncharacterized LOC101882662
dre:794939	protein FAM163B-like
dre:100537087	adamtsl2; ADAMTS-like 2
dre:103911146	tetratricopeptide repeat protein 16-like
dre:103911147	tetratricopeptide repeat protein 16-like
dre:553399	secisbp2, im:7147048, si:ch211-261c8.1; SECIS binding protein 2
dre:561914	malt1b, si:ch211-261c8.3; MALT1 paracaspase b; K07369 mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]
dre:497376	kntc1, im:6912223, im:7138629; kinetochore associated 1; K11577 kinetochore-associated protein 1
dre:572077	mn1b, im:7154980, si:ch211-223p9.1; meningioma 1b
dre:103911148	uncharacterized LOC103911148
dre:557579	si:ch211-236k19.2
dre:101887167	fermt3a, si:ch211-223p9.3; fermitin family member 3a
dre:100144402	flrt1a, sc:d0372; fibronectin leucine rich transmembrane protein 1a; K16362 leucine-rich repeat transmembrane protein FLRT
dre:100320305	im:7154036
dre:797680	clip1a, si:dkey-273o13.1; CAP-GLY domain containing linker protein 1a; K10421 CAP-Gly domain-containing linker protein 1
dre:562347	uncharacterized LOC562347
dre:101885639	uncharacterized LOC101885639
dre:562682	im:6906298; si:dkey-251i10.2
dre:100535048	si:dkey-70b23.2
dre:101885883	arhgap31, si:dkey-70b23.1; Rho GTPase activating protein 31
dre:568517	abhd10a, fb10b08, si:ch211-271b14.3, wu:fb10b08; abhydrolase domain containing 10a; K13702 abhydrolase domain-containing protein 10 [EC:3.1.1.93]
dre:325802	mtif3, fd12b09, si:ch211-271b14.5, wu:fd12b09; mitochondrial translational initiation factor 3; K02520 translation initiation factor IF-3
dre:562750	wasf3a, si:ch211-271b14.7; WAS protein family, member 3a; K06083 WAS protein family, member 3
dre:101055497	rnf167; ring finger protein 167; K15706 E3 ubiquitin-protein ligase RNF167 [EC:2.3.2.27]
dre:100334158	voltage-gated potassium channel subunit beta-2-like; K04884 potassium voltage-gated channel Shaker-related subfamily A, beta member 3
dre:570771	kif1c; kinesin family member 1C; K10392 kinesin family member 1
dre:100321354	si:dkey-273o13.3
dre:560607	casr; calcium-sensing receptor; K04612 calcium-sensing receptor
dre:100000823	dlg4; discs, large homolog 4 (Drosophila); K11828 discs large protein 4
dre:103911150	uncharacterized LOC103911150
dre:100329446	slc25a45; solute carrier family 25, member 45; K15123 solute carrier family 25, member 45/47
dre:103911151	uncharacterized LOC103911151
dre:100317089	inpp5jb, si:ch73-243g21.1; inositol polyphosphate-5-phosphatase Jb; K01106 inositol-1,4,5-trisphosphate 5-phosphatase [EC:3.1.3.56]
dre:664685	smtnb, smtn; smoothelin b
dre:101883490	ccno; cyclin O; K10861 uracil-DNA glycosylase 2 [EC:3.2.2.-]
dre:101885985	znf664; zinc finger protein 664
dre:101886043	zinc finger protein 271-like
dre:100002923	gastrula zinc finger protein XlCGF8.2DB-like
dre:103911152	zinc finger protein 239-like
dre:100002858	gastrula zinc finger protein XlCGF8.2DB
dre:550604	zgc:113050
dre:101886526	gastrula zinc finger protein XlCGF57.1-like
dre:101886578	zinc finger protein 271-like
dre:100004668	fsd1l; fibronectin type III and SPRY domain containing 1-like
dre:101887102	si:ch211-154e10.1; K07524 regulator of G-protein signalling 3
dre:562358	zcchc6; zinc finger, CCHC domain containing 6; K13291 terminal uridylyltransferase [EC:2.7.7.52]
dre:100330008	znf618; zinc finger protein 618
dre:100535087	astrotactin-2-like
dre:103910313	uncharacterized LOC103910313
dre:101882751	uncharacterized LOC101882751
dre:101882919	uncharacterized LOC101882919
dre:100334375	brinp1; bone morphogenetic protein/retinoic acid inducible neural-specific 1
dre:101883074	eng; endoglin
dre:101883034	uncharacterized LOC101883034
dre:101883194	nucleus accumbens-associated protein 2-like
dre:101883261	uncharacterized LOC101883261
dre:101883295	nuclear pore complex protein Nup214-like
dre:100332331	c5h9orf69; chromosome 5 open reading frame, human C9orf69
dre:568758	ppapdc3; phosphatidic acid phosphatase type 2 domain containing 3
dre:561451	prrc2b; proline-rich coiled-coil 2B
dre:100000720	abl1; c-abl oncogene 1, non-receptor tyrosine kinase; K06619 abelson tyrosine-protein kinase 1 [EC:2.7.10.2]
dre:101882981	uncharacterized LOC101882981
dre:100529857	nup214; nucleoporin 214; K14317 nuclear pore complex protein Nup214
dre:100002601	dqx1; DEAQ box RNA-dependent ATPase 1; K14433 ATP-dependent RNA helicase DQX1 [EC:3.6.4.12]
dre:100331600	uncharacterized LOC100331600
dre:101884973	hydroxycarboxylic acid receptor 2-like
dre:100332847	zinc finger protein 154-like
dre:100151196	PH and SEC7 domain-containing protein 1-like; K12494 PH and SEC7 domain-containing protein
dre:60637	pax8; paired box 8; K09293 paired box protein 8
dre:101885349	platelet glycoprotein Ib alpha chain-like
dre:100009623	mbd5, zgc:158479; methyl-CpG binding domain protein 5
dre:100333177	si:zfos-323e3.4
dre:100333252	cdkn2d; cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4); K06623 cyclin-dependent kinase inhibitor 2D
dre:100333113	protein lyl-1-like; K15604 protein lyl-1
dre:100537138	GTPase IMAP family member 6-like
dre:100535713	transcription activator BRG1-like
dre:570828	mgat3; mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase; K00737 beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]
dre:570839	complement C1q tumor necrosis factor-related protein 6-like; K19470 complement C1q tumor necrosis factor-related protein 6
dre:100005420	tmprss6; transmembrane protease, serine 6; K09637 transmembrane protease serine 6 [EC:3.4.21.-]
dre:101886216	interleukin-2 receptor subunit beta-like
dre:100005069	rps19bp1; ribosomal protein S19 binding protein 1
dre:557729	uncharacterized LOC557729
dre:101886602	G-protein coupled receptor 35-like
dre:101886547	G-protein coupled receptor 4-like
dre:403084	tab1, map3k7ip1; TGF-beta activated kinase 1/MAP3K7 binding protein 1; K04403 TAK1-binding protein 1
dre:101886498	uncharacterized LOC101886498
dre:100334518	somatostatin receptor type 5-like; K04219 somatostatin receptor 3
dre:100535353	protein CutA homolog; K03926 periplasmic divalent cation tolerance protein
dre:100334891	voltage-dependent T-type calcium channel subunit alpha-1I
dre:100334830	kynu; kynureninase
dre:100334958	si:ch73-379f7.4
dre:566782	NACHT, LRR and PYD domains-containing protein 3-like; K12800 NACHT, LRR and PYD domains-containing protein 3
dre:100331014	acvr2ab, si:dkey-264o13.1; activin A receptor, type IIAb
dre:103910340	uncharacterized LOC103910340
dre:101882198	uncharacterized LOC101882198
dre:100538256	uncharacterized LOC100538256
dre:100329795	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3-like
dre:100329882	E3 ubiquitin-protein ligase TRIM21-like
dre:100535338	homeobox protein TGIF2-like; K19553 homeobox protein TGIF2
dre:569107	dlgap4b, dlgap4, si:zfos-376h7.1; discs, large (Drosophila) homolog-associated protein 4b
dre:565984	tgm5l, si:ch1073-277p6.1; transglutaminase 5, like
dre:566065	fe02h09; wu:fe02h09; K13350 peroxisomal membrane protein 4
dre:559222	acvr1bb, si:zfos-824d4.1; activin A receptor, type IBb
dre:798514	rgsl1; regulator of G-protein signaling like 1
dre:103911156	receptor-type tyrosine-protein phosphatase F-like
dre:571986	szt2; seizure threshold 2 homolog (mouse)
dre:100003413	kdm4aa, si:ch211-215f22.3; lysine (K)-specific demethylase 4A, genome duplicate a
dre:101882107	artn; artemin
dre:100333617	si:ch1073-342h5.2; K10347 leucine-rich repeat-containing protein 41
dre:103911157	uncharacterized LOC103911157
dre:100002791	col28a1l, col28a1b, zmp:0000000759; collagen, type XXVIII, alpha 1 like
dre:799504	transcription factor Sp5-like
dre:561824	erich2; glutamate-rich 2
dre:561612	dync1i2b; dynein, cytoplasmic 1, intermediate chain 2b; K10415 dynein intermediate chain, cytosolic
dre:100307084	si:dkeyp-13a3.6
dre:103911158	uncharacterized LOC103911158
dre:100000009	sema5bb; sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5Bb; K06841 semaphorin 5
dre:448857	trim25l; tripartite motif containing 25, like
dre:560810	trak2, fj21g01, wu:fj21g01; trafficking protein, kinesin binding 2; K15374 trafficking kinesin-binding protein 2
dre:100536950	stradb; STE20-related kinase adaptor beta; K17532 STE20-related kinase adapter protein beta
dre:103911159	neurobeachin-like protein 1
dre:619195	rbm26, wu:fc66d05, zgc:109736; RNA binding motif protein 26; K13192 RNA-binding protein 26
dre:103911160	uncharacterized LOC103911160
dre:103911161	uncharacterized LOC103911161
dre:100332617	nbeal1; neurobeachin-like 1
dre:100003830	rnf219; ring finger protein 219
dre:100004118	pcdh9; protocadherin 9; K16498 protocadherin delta 1
dre:103911162	uncharacterized LOC103911162
dre:101885826	uncharacterized LOC101885826
dre:103911164	uncharacterized LOC103911164
dre:101885479	uncharacterized LOC101885479
dre:100329473	ccdc88aa; coiled-coil domain containing 88Aa
dre:566358	cep170l, im:7149177, kab; centrosomal protein 170-like
dre:100535478	si:ch211-194e18.2; K16861 inactive phospholipase D5
dre:794828	fc32g12; wu:fc32g12
dre:100329329	si:ch211-85n16.3
dre:795591	si:ch211-114n24.6
dre:100332121	si:ch211-237c6.4
dre:792524	hs6st3a, si:ch211-237c6.5; heparan sulfate 6-O-sulfotransferase 3a; K08103 heparan sulfate 6-O-sulfotransferase HS6ST3 [EC:2.8.2.-]
dre:563994	dZ228E24.5; si:ch211-181l5.2
dre:103911165	uncharacterized LOC103911165
dre:556021	claudin-10
dre:555454	myh10, dZ204D19.2, si:dz150i12.3, wu:fc46h07, wu:fy19d11; myosin, heavy chain 10, non-muscle; K10352 myosin heavy chain
dre:571463	lipid phosphate phosphatase-related protein type 5-like; K19581 lipid phosphate phosphatase-related protein type 1/2/5
dre:103911167	protein PXR1
dre:101886553	protein PXR1-like
dre:565615	rin2; Ras and Rab interactor 2
dre:799340	si:ch211-207j7.2
dre:103908623	uncharacterized LOC103908623
dre:100149956	rgl3a; ral guanine nucleotide dissociation stimulator-like 3a
dre:324345	slc44a2, fc26c03, wu:fc26c03; solute carrier family 44 (choline transporter), member 2; K15377 solute carrier family 44 (choline transporter-like protein), member 2/4/5
dre:103911170	uncharacterized LOC103911170
dre:556689	fi11h08, wu:fi11h08; si:dkey-217d24.6
dre:798492	rasal3; RAS protein activator like 3
dre:567944	fopnl, gb:eh445560; fgfr1op N-terminal like; K16535 lisH domain-containing protein FOPNL
dre:570420	tspeara, si:ch73-267f5.4; thrombospondin-type laminin G domain and EAR repeats a
dre:402834	usp40; ubiquitin specific peptidase 40; K11869 ubiquitin carboxyl-terminal hydrolase 40 [EC:3.4.19.12]
dre:797681	tmeff2b; transmembrane protein with EGF-like and two follistatin-like domains 2b
dre:103911171	uncharacterized LOC103911171
dre:100151335	PI-PLC X domain-containing protein 1-like
dre:562414	si:ch211-155d24.7; si:ch211-207l14.1
dre:103911172	uncharacterized LOC103911172
dre:100538180	tbx19; T-box 19; K10184 T-box protein 19
dre:101884993	uncharacterized LOC101884993
dre:100330734	serine/threonine-protein kinase pim-1-like
dre:562898	uncharacterized LOC562898
dre:103911173	uncharacterized LOC103911173
dre:103911174	uncharacterized LOC103911174
dre:562752	ccdc14; coiled-coil domain containing 14; K16541 coiled-coil domain-containing protein 14
dre:100537940	serine/threonine-protein kinase pim-1-like
dre:558239	si:ch211-113j14.1
dre:558321	map3k2, si:dkey-32h20.5; mitogen-activated protein kinase kinase kinase 2; K04420 mitogen-activated protein kinase kinase kinase 2 [EC:2.7.11.25]
dre:100318899	als2b, wu:fi21b09; amyotrophic lateral sclerosis 2b (juvenile); K04575 amyotrophic lateral sclerosis 2 protein
dre:103911175	uncharacterized LOC103911175
dre:100331226	mpp4; membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)
dre:100537673	serine/threonine-protein kinase pim-1-like
dre:101886783	immunoglobulin superfamily member 1-like
dre:100002924	tcf23; transcription factor 23
dre:100537706	serine/threonine-protein kinase pim-1-like
dre:101884075	uncharacterized LOC101884075
dre:101884143	uncharacterized LOC101884143
dre:559521	beta-1,3-galactosyltransferase 1-like; K07819 beta-1,3-galactosyltransferase 1 [EC:2.4.1.-]
dre:556499	atp7b; ATPase, Cu++ transporting, beta polypeptide (Wilson disease); K17686 Cu+-exporting ATPase [EC:3.6.3.54]
dre:559806	si:dkey-276l13.4; K04157 5-hydroxytryptamine receptor 2
dre:559746	xirp2a, sb:cb1045, wu:fc12g12, xirp2; xin actin binding repeat containing 2a
dre:103911179	LIM domain and actin-binding protein 1-like
dre:100536063	cobll1a, si:dkey-43i4.1; cordon-bleu WH2 repeat protein-like 1a
dre:101884757	fidgetin-like
dre:560289	kcnh7, si:dkey-240h6.1; potassium channel, voltage gated eag related subfamily H, member 7; K04910 potassium voltage-gated channel Eag-related subfamily H member 7
dre:100005466	zinc finger protein 260
dre:103911180	uncharacterized LOC103911180
dre:322961	sp3b, fb77h05, wu:fb77h05; Sp3b transcription factor
dre:100005567	gpr155b; G protein-coupled receptor 155b
dre:100151491	wipf1b, wipf1; WAS/WASL interacting protein family, member 1b; K19475 WAS/WASL-interacting protein
dre:566040	notum2, si:dkey-3d18.6; notum pectinacetylesterase 2; K19882 O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]
dre:101885660	uncharacterized LOC101885660
dre:566555	abcc6a; ATP-binding cassette, sub-family C (CFTR/MRP), member 6a
dre:321786	pttg1ipa, fb34e07, wu:fb34e07; pituitary tumor-transforming 1 interacting protein a
dre:566674	myo10l1; myosin X-like 1; K12559 myosin X
dre:325536	pcnt, sb:cb754, si:ch211-245b3.1, wu:fc85c01; pericentrin; K16481 pericentrin
dre:556400	senp2, im:7163520, si:rp71-56k2.4, wu:fb78c01; SUMO1/sentrin/SMT3 specific peptidase 2; K03345 sentrin-specific protease 2 (axin associating molecule) [EC:3.4.22.68]
dre:100006366	col5a2b, si:rp71-56k2.1; collagen, type V, alpha 2b; K19721 collagen, type V/XI/XXIV/XXVII, alpha
dre:100006392	gulp1b, si:rp71-56k2.5, gulp1; GULP, engulfment adaptor PTB domain containing 1b
dre:567131	calcrlb; calcitonin receptor-like b
dre:561242	fam171b; family with sequence similarity 171, member B
dre:561095	baz2ba, zgc:165617; bromodomain adjacent to zinc finger domain, 2Ba
dre:101886850	sperm protamine P2-like
dre:552915	dnah9l, dhc9; dynein, axonemal, heavy polypeptide 9 like; K10408 dynein heavy chain, axonemal
dre:103911181	dynein beta chain, ciliary-like
dre:100006646	dfnb59, si:rp71-56k2.2; deafness, autosomal recessive 59
dre:561438	tanc1a; tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1a
dre:561566	pkp4; plakophilin 4
dre:561769	wu:fq41a10; si:dkey-276j7.1
dre:792667	si:dkey-276j7.2
dre:561631	ermn; ermin, ERM-like protein
dre:103911182	uncharacterized LOC103911182
dre:100151488	dock9b, stab1; dedicator of cytokinesis 9b
dre:570653	fam117ba, si:dkey-211e8.3; family with sequence similarity 117, member Ba
dre:566338	im:7155681; si:ch73-71c20.5
dre:101884979	uncharacterized LOC101884979
dre:565785	l3hypdh; L-3-hydroxyproline dehydratase (trans-); K18384 trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]
dre:795066	caspase-8-like
dre:103911183	uncharacterized LOC103911183
dre:794175	adam23a, adam23, wu:fj40f01, wu:fq14a08; ADAM metallopeptidase domain 23a; K06837 disintegrin and metalloproteinase domain-containing protein 23 [EC:3.4.24.-]
dre:563160	zdbf2, adam23a; zinc finger, DBF-type containing 2
dre:557095	kcnj3b, si:dkey-114o13.3, kcnj3; potassium inwardly-rectifying channel, subfamily J, member 3b; K04997 potassium inwardly-rectifying channel subfamily J member 3
dre:492608	fmnl2b, im:7143207, wu:fa31c06; formin-like 2b
dre:492576	mylkb, im:7142009, si:dkey-226n16.2; myosin light chain kinase b; K00907 myosin-light-chain kinase [EC:2.7.11.18]
dre:103911184	chpfb; chondroitin polymerizing factor b
dre:794660	chondroitin sulfate synthase 2-like
dre:100332722	protein Wnt-6-like; K00445 wingless-type MMTV integration site family, member 6
dre:564351	ptprnb, ptprna; protein tyrosine phosphatase, receptor type, Nb
dre:103911185	uncharacterized LOC103911185
dre:103911186	uncharacterized LOC103911186
dre:101887154	tmem182b, si:ch211-141o18.1; transmembrane protein 182b
dre:103911187	acid-sensing ion channel 4-like
dre:101885842	uncharacterized LOC101885842
dre:101885768	uncharacterized LOC101885768
dre:103911188	uncharacterized LOC103911188
dre:101882262	uncharacterized LOC101882262
dre:100334274	si:ch73-23l24.1
dre:793804	ecrg4b; esophageal cancer related gene 4b
dre:100321881	lrrfip1b, si:ch211-186m12.4; leucine rich repeat (in FLII) interacting protein 1b
dre:571281	pimr197, si:dkey-183g16.1; Pim proto-oncogene, serine/threonine kinase, related 197
dre:100148154	agap1; ArfGAP with GTPase domain, ankyrin repeat and PH domain 1; K12491 Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3
dre:569128	ccdc80l1; coiled-coil domain containing 80 like 1
dre:569085	slc19a2, si:ch211-194e2.2; solute carrier family 19 (thiamine transporter), member 2; K14610 solute carrier family 19 (thiamine transporter), member 2/3
dre:100006062	si:ch73-193c12.2
dre:100536734	unc80; unc-80 homolog (C. elegans)
dre:446115	nomo; nodal modulator
dre:103911189	uncharacterized LOC103911189
dre:103911190	uncharacterized LOC103911190
dre:103911191	uncharacterized LOC103911191
dre:103911192	uncharacterized LOC103911192
dre:103911193	uncharacterized LOC103911193
dre:101883467	uncharacterized LOC101883467
dre:100151031	uncharacterized LOC100151031
dre:103911194	uncharacterized LOC103911194
dre:103911195	uncharacterized LOC103911195
dre:103911196	uncharacterized LOC103911196
dre:101883662	uncharacterized LOC101883662
dre:101883619	uncharacterized LOC101883619
dre:103908711	uncharacterized LOC103908711
dre:103911197	uncharacterized LOC103911197
dre:101883789	uncharacterized LOC101883789
dre:103911198	uncharacterized LOC103911198
dre:100537547	uncharacterized LOC100537547
dre:101883827	uncharacterized LOC101883827
dre:103911199	uncharacterized LOC103911199
dre:101884027	uncharacterized LOC101884027
dre:101883920	uncharacterized LOC101883920
dre:100147899	uncharacterized LOC100147899
dre:100151003	uncharacterized LOC100151003
dre:100149609	serine/threonine-protein kinase pim-2-like
dre:101883715	uncharacterized LOC101883715
dre:103911200	uncharacterized LOC103911200
dre:101882356	uncharacterized LOC101882356
dre:103911201	uncharacterized LOC103911201
dre:103911202	uncharacterized LOC103911202
dre:560455	rptor; regulatory associated protein of MTOR, complex 1; K07204 regulatory associated protein of mTOR
dre:101882499	uncharacterized LOC101882499
dre:100537661	coiled-coil domain-containing protein 37-like
dre:101885080	uncharacterized LOC101885080
dre:101885121	cytosolic 10-formyltetrahydrofolate dehydrogenase-like
dre:100150674	polg2, im:7158733, si:ch211-157f15.3; polymerase (DNA directed), gamma 2, accessory subunit; K02333 DNA polymerase gamma 2
dre:336811	ten1, fb06e02, si:ch211-89i1.2, wu:fb06e02; TEN1 CST complex subunit
dre:794378	uncharacterized LOC794378
dre:101883561	uncharacterized LOC101883561
dre:103911203	uncharacterized LOC103911203
dre:103908703	uncharacterized LOC103908703
dre:795921	uncharacterized LOC795921
dre:103911204	uncharacterized LOC103911204
dre:103911205	uncharacterized LOC103911205
dre:103911206	uncharacterized LOC103911206
dre:101883975	ube2o; ubiquitin-conjugating enzyme E2O
dre:497434	im:7144090; K14609 solute carrier family 19 (folate transporter), member 1
dre:565181	tns1a, si:dkey-257h21.2; tensin 1a; K18080 tensin
dre:100334961	si:dkey-91f15.8
dre:103911207	uncharacterized LOC103911207
dre:797409	cacng5a; calcium channel, voltage-dependent, gamma subunit 5a; K04870 voltage-dependent calcium channel gamma-5
dre:797554	cacng4a, si:ch211-152n14.6; calcium channel, voltage-dependent, gamma subunit 4a
dre:100149741	micall1a, micall1, wu:fb81a07; MICAL-like 1a; K19948 MICAL-like protein
dre:795882	si:dkey-43k4.3
dre:100148290	si:dkey-43k4.5; K04931 potassium voltage-gated channel delayed-rectifier subfamily S member 1
dre:323929	mtmr14, fc14d11, wu:fc14d11; myotubularin related protein 14; K18086 myotubularin-related protein 14 [EC:3.1.3.64 3.1.3.95]
dre:100151593	lhfpl4a, si:dkey-19e4.4; lipoma HMGIC fusion partner-like 4a
dre:570278	setd5; SET domain containing 5
dre:570260	fb82g02, wu:fb82g02; si:dkey-19e4.5; K04794 peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]
dre:570222	plxnb1b; plexin b1b; K06821 plexin B
dre:326091	fd99c07, wu:fb99g10, wu:fd99c07; si:dkey-156n14.3
