mmu:106740	no KO assigned | (RefSeq) uncharacterized LOC106740
mmu:432516	K10356 myosin I | (RefSeq) Myo1a, BBM-I, Myhl; myosin IA
mmu:76573	no KO assigned | (RefSeq) Spatc1l, 1700022B01Rik, 1700027D21Rik, AA062323; spermatogenesis and centriole associated 1 like
mmu:15376	K08035 forkhead box protein A2, hepatocyte nuclear factor 3-beta | (RefSeq) Foxa2, HNF3-beta, HNF3beta, Hnf-3b, Hnf3b, Tcf-3b, Tcf3b; forkhead box A2
mmu:26939	K14721 DNA-directed RNA polymerase III subunit RPC5 | (RefSeq) Polr3e, RPC5, Sin; polymerase (RNA) III (DNA directed) polypeptide E
mmu:224796	K05025 chloride intracellular channel protein 5 | (RefSeq) Clic5, 5730531E12Rik, B330005L24, Gm322, jbg; chloride intracellular channel 5
mmu:20020	K03006 DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6] | (RefSeq) Polr2a, 220kDa, Rpb1, Rpo2-1; polymerase (RNA) II (DNA directed) polypeptide A
mmu:19222	K04263 prostacyclin receptor | (RefSeq) Ptgir, IP, PGI2; prostaglandin I receptor (IP)
mmu:73124	no KO assigned | (RefSeq) Golim4, 3110027H23Rik, GIMPC, GPP130, Golph4, P138; golgi integral membrane protein 4
mmu:67952	K17770 mitochondrial import receptor subunit TOM20 | (RefSeq) Tomm20, 1810060K07Rik, BB284719, Gm19268, MAS20, MOM19, TOM20, mKIAA0016; translocase of outer mitochondrial membrane 20 homolog (yeast)
mmu:387524	K10694 E3 ubiquitin-protein ligase ZNRF1/2 [EC:2.3.2.27] | (RefSeq) Znrf2, 1190002C14Rik, AU044205, D6Ertd365e; zinc and ring finger 2
mmu:216274	K16533 centrosomal protein CEP290 | (RefSeq) Cep290, BC004690, Nphp6, b2b1454Clo, b2b1752Clo; centrosomal protein 290
mmu:75125	no KO assigned | (RefSeq) 4930513O06Rik; RIKEN cDNA 4930513O06 gene
mmu:56421	K00850 6-phosphofructokinase 1 [EC:2.7.1.11] | (RefSeq) Pfkp, 1200015H23Rik, 9330125N24Rik, ATP-PFK, PFK-C, PFK-P; phosphofructokinase, platelet
mmu:386649	K14012 UBX domain-containing protein 1 | (RefSeq) Nsfl1c, Munc-18c, Stxbp3a, p47; NSFL1 (p97) cofactor (p47)
mmu:208198	K10477 BTB/POZ domain-containing protein 1/2 | (RefSeq) Btbd2, 2610037C03Rik, 4930512K17Rik; BTB (POZ) domain containing 2
mmu:15112	K11517 (S)-2-hydroxy-acid oxidase [EC:1.1.3.15] | (RefSeq) Hao1, GOX, Gox1, Hao-1; hydroxyacid oxidase 1, liver
mmu:13094	K07412 cytochrome P450 family 2 subfamily B [EC:1.14.14.1] | (RefSeq) Cyp2b9, Cyp2b; cytochrome P450, family 2, subfamily b, polypeptide 9
mmu:27205	K06817 podocalyxin-like | (RefSeq) Podxl, AW121214, Ly102, PC, PCLP-1, Pclp1; podocalyxin-like
mmu:77798	no KO assigned | (RefSeq) A930009A15Rik; RIKEN cDNA A930009A15 gene
mmu:56749	K00254 dihydroorotate dehydrogenase [EC:1.3.5.2] | (RefSeq) Dhodh, 2810417D19Rik, AI834883; dihydroorotate dehydrogenase
mmu:210622	no KO assigned | (RefSeq) Pamr1, 5930437L24, E430002G05Rik, Ramp; peptidase domain containing associated with muscle regeneration 1
mmu:329693	K06727 Fc receptor-like protein | (RefSeq) Fcrl5, Fcrh3, mBXMH2; Fc receptor-like 5
mmu:545288	no KO assigned | (RefSeq) Cyp2c67, C730004C24Rik; cytochrome P450, family 2, subfamily c, polypeptide 67
mmu:19708	K13196 zinc finger protein ubi-d4 | (RefSeq) Dpf2, 2210010M07Rik, BAF45D, Req, ubi-d4; D4, zinc and double PHD fingers family 2
mmu:16597	K09205 krueppel-like factor 8/12 | (RefSeq) Klf12, 2700063E05Rik, AI225908, AI315654, AP-2rep, B130052C06Rik, D530033K05Rik; Kruppel-like factor 12
mmu:380959	K03850 alpha-1,2-glucosyltransferase [EC:2.4.1.256] | (RefSeq) Alg10b, AA469671, AU045404, AW123895, C85569, Deaf1, Gm917, nse5; asparagine-linked glycosylation 10B (alpha-1,2-glucosyltransferase)
mmu:545662	no KO assigned | (RefSeq) B020004J07Rik; RIKEN cDNA B020004J07 gene
mmu:623279	no KO assigned | (RefSeq) Dok6, Dok-6; docking protein 6
mmu:77582	K13516 lysophospholipid acyltransferase 7 [EC:2.3.1.-] | (RefSeq) Mboat7, 5730589L02Rik, BB1, Leng4, Lpiat, Lpiat1, mBB1; membrane bound O-acyltransferase domain containing 7
mmu:18162	K12325 atrial natriuretic peptide clearance receptor | (RefSeq) Npr3, ANP-C, ANPR-C, EF-2, NPR-C, lgj, stri; natriuretic peptide receptor 3
mmu:66556	no KO assigned | (RefSeq) Drap1, 2310074H19Rik, NC2-alpha; Dr1 associated protein 1 (negative cofactor 2 alpha)
mmu:17187	K04453 Max protein | (RefSeq) Max, AA960152, AI875693, bHLHd4, bHLHd5, bHLHd6, bHLHd7, bHLHd8; Max protein
mmu:18534	K01596 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32] | (RefSeq) Pck1, AI265463, PEPCK, Pck-1; phosphoenolpyruvate carboxykinase 1, cytosolic
mmu:210962	no KO assigned | (RefSeq) Gm597; predicted gene 597
mmu:100041515	no KO assigned | (RefSeq) Gm3383; predicted gene 3383
mmu:23801	K18684 hydroperoxy icosatetraenoate dehydratase/isomerase [EC:4.2.1.152 5.4.4.7] | (RefSeq) Aloxe3, e-LOX-3, eLOX-3; arachidonate lipoxygenase 3
mmu:57432	no KO assigned | (RefSeq) Zc3h8, AU020882, E130108N08Rik, Fliz1, Zc3hdc8; zinc finger CCCH type containing 8
mmu:233115	no KO assigned | (RefSeq) Dpy19l3, 6030410G08, 9330164H19Rik; dpy-19-like 3 (C. elegans)
mmu:74196	no KO assigned | (RefSeq) Ttc27, 2610511O17Rik; tetratricopeptide repeat domain 27
mmu:30938	K05722 FYVE, RhoGEF and PH domain containing 3 | (RefSeq) Fgd3, 5830461L01Rik, ZFYVE5; FYVE, RhoGEF and PH domain containing 3
mmu:382864	no KO assigned | (RefSeq) Colq, A130034K24Rik; collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase
mmu:353208	no KO assigned | (RefSeq) Zfp931, 2810021G02Rik; zinc finger protein 931
mmu:545055	no KO assigned | (RefSeq) Cma2, Mcp10; chymase 2, mast cell
mmu:13555	K17454 transcription factor E2F1 | (RefSeq) E2f1, E2F-1, mKIAA4009; E2F transcription factor 1
mmu:668158	no KO assigned | (RefSeq) Ccdc85c, EG668158, Gm265, Gm9010; coiled-coil domain containing 85C
mmu:234673	K03927 carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56] | (RefSeq) Ces2e, 9030624L02Rik, Ces5; carboxylesterase 2E
mmu:20288	K06558 macrophage scavenger receptor 1 | (RefSeq) Msr1, MRS-A, MSR, MSR-A, SR-AI, SR-AII, Scara1, Scvr; macrophage scavenger receptor 1
mmu:108832	no KO assigned | (RefSeq) Tmem74b, 5430405G05Rik; transmembrane protein 74B
mmu:14166	K04358 fibroblast growth factor | (RefSeq) Fgf11, Fgf-11, Fhf-3, Fhf3; fibroblast growth factor 11
mmu:210094	K06773 opioid binding protein/cell adhesion molecule-like | (RefSeq) Iglon5, A230106M20Rik, Gm1431; IgLON family member 5
mmu:13170	K09056 albumin D box-binding protein | (RefSeq) Dbp; D site albumin promoter binding protein
mmu:12951	K09337 cone-rod homeobox protein | (RefSeq) Crx, Crx1; cone-rod homeobox
mmu:243867	K10320 F-box protein 46 | (RefSeq) Fbxo46, 20D7-FC4, 4932704E22Rik, Fbxo34l; F-box protein 46
mmu:14854	K01920 glutathione synthase [EC:6.3.2.3] | (RefSeq) Gss, AI314904, GS-A/GS-B, GSH-S; glutathione synthetase
mmu:239827	K08098 phosphatidylinositol glycan, class Z [EC:2.4.1.-] | (RefSeq) Pigz, F630022B06Rik; phosphatidylinositol glycan anchor biosynthesis, class Z
mmu:238662	no KO assigned | (RefSeq) Spata31d1b, EG238662, Fam75d1b, Gm4934; spermatogenesis associated 31 subfamily D, member 1B
mmu:234076	no KO assigned | (RefSeq) Tmco3, B230339H12Rik, C87304; transmembrane and coiled-coil domains 3
mmu:171388	K18448 BCL2/adenovirus E1B 19 kDa protein-interacting protein 2 | (RefSeq) Bnipl, 1700128A13Rik, BNIP-S, BNIPL1, BNIPL2, PP73, PP753; BCL2/adenovirus E1B 19kD interacting protein like
mmu:85031	K13618 phospholipase A1 member A [EC:3.1.1.-] | (RefSeq) Pla1a, AA986889, Ps-pla1, Pspla1; phospholipase A1 member A
mmu:78752	K00746 chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175] | (RefSeq) Csgalnact2, 4632415D10Rik, Galnact2; chondroitin sulfate N-acetylgalactosaminyltransferase 2
mmu:218215	K11975 E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.27] | (RefSeq) Rnf144b, BC025007, E130105P19Rik, Ibrdc2, Pir2; ring finger protein 144B
mmu:239102	K09379 zinc finger homeobox protein 2 | (RefSeq) Zfhx2, ZFH-5; zinc finger homeobox 2
mmu:66223	K02916 large subunit ribosomal protein L35 | (RefSeq) Mrpl35, 1110066C01Rik; mitochondrial ribosomal protein L35
mmu:228839	K19553 homeobox protein TGIF2 | (RefSeq) Tgif2, 4921501K24, 5730599O09Rik, C80753, C81206; TGFB-induced factor homeobox 2
mmu:76123	K15837 G-protein signaling modulator 2 | (RefSeq) Gpsm2, 6230410J09Rik, LGN, Pins; G-protein signalling modulator 2 (AGS3-like, C. elegans)
mmu:15002	K06752 major histocompatibility complex, class II | (RefSeq) H2-Ob, A-beta-2, A-beta2, H-2Ab, H-2I, H-2Ob, H2-Ab, H2-Ab2, H2-IAb2, Ob; histocompatibility 2, O region beta locus
mmu:78246	no KO assigned | (RefSeq) Phf23, JUNE-1; PHD finger protein 23
mmu:234366	no KO assigned | (RefSeq) Gatad2a, 1110066C11Rik, BC031407, C80248; GATA zinc finger domain containing 2A
mmu:76987	no KO assigned | (RefSeq) Hdhd2, 0610039H12Rik, 3110052N05Rik; haloacid dehalogenase-like hydrolase domain containing 2
mmu:17681	K09072 musculin (activated B-cell factor-1) | (RefSeq) Msc, MyoR, bHLHa22; musculin
mmu:72454	no KO assigned | (RefSeq) Ccdc71, 2600016J21Rik; coiled-coil domain containing 71
mmu:24064	K17383 protein sprouty homolog 2 | (RefSeq) Spry2, sprouty2; sprouty homolog 2 (Drosophila)
mmu:229782	K15272 solute carrier family 35 (UDP-sugar transporter), member A1/2/3 | (RefSeq) Slc35a3, 2310050P13Rik; solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3
mmu:224019	no KO assigned | (RefSeq) Tmem191c, 4933405M22Rik, D16Bwg1494e, MNCb-4137; transmembrane protein 191C
mmu:622665	no KO assigned | (RefSeq) Ccdc17; coiled-coil domain containing 17
mmu:14570	K12462 Rho GDP-dissociation inhibitor | (RefSeq) Arhgdig, Gdi5, RIP2, Rho-GDI-3, Rho-GDI2; Rho GDP dissociation inhibitor (GDI) gamma
mmu:18111	no KO assigned | (RefSeq) Nnat, 5730414I02Rik, AW107673, Peg5; neuronatin
mmu:26388	K12971 interferon-activable protein 202 | (RefSeq) Ifi202b, Ifbip-1, Ifi202, Ifi202a, p202; interferon activated gene 202B
mmu:232798	no KO assigned | (RefSeq) Leng8, AW049671; leukocyte receptor cluster (LRC) member 8
mmu:17194	K03991 mannose-binding lectin | (RefSeq) Mbl1, MBL-A, MBP-A, S-MBP; mannose-binding lectin (protein A) 1
mmu:72049	K05151 tumor necrosis factor receptor superfamily member 13C | (RefSeq) Tnfrsf13c, 2010006P15Rik, BAFF-R, Baffr, Bcmd, Bcmd-1, Bcmd1, Lvis22; tumor necrosis factor receptor superfamily, member 13c
mmu:114570	no KO assigned | (RefSeq) Crip3, TLP, TLP-A, TLP-B, Tlmp; cysteine-rich protein 3
mmu:320595	K19415 lysine-specific demethylase PHF8 [EC:1.14.11.27] | (RefSeq) Phf8, 9830141C09Rik, mKIAA1111; PHD finger protein 8
mmu:11889	K10063 asialoglycoprotein receptor 1 | (RefSeq) Asgr1, ASGPR1, Asgr, Asgr-1, HL-1; asialoglycoprotein receptor 1
mmu:13118	K07425 alkane 1-monooxygenase [EC:1.14.15.3] | (RefSeq) Cyp4a12b, BC060945, Cyp4a12; cytochrome P450, family 4, subfamily a, polypeptide 12B
mmu:70676	no KO assigned | (RefSeq) Gulp1, 3110030A04Rik, 5730529O06Rik, CED-6, Ced6, GULP, Gulp-2; GULP, engulfment adaptor PTB domain containing 1
mmu:226849	K11584 serine/threonine-protein phosphatase 2A regulatory subunit B' | (RefSeq) Ppp2r5a, PR61alpha; protein phosphatase 2, regulatory subunit B', alpha
mmu:277753	K07425 alkane 1-monooxygenase [EC:1.14.15.3] | (RefSeq) Cyp4a12a, BC025936, Cyp4a12; cytochrome P450, family 4, subfamily a, polypeptide 12a
mmu:74626	no KO assigned | (RefSeq) Tmem81, 4930429O20Rik, AI465369; transmembrane protein 81
mmu:56543	K04893 potassium voltage-gated channel Shal-related subfamily D member 3 | (RefSeq) Kcnd3, AW045978, Kncd3, Kv4.3; potassium voltage-gated channel, Shal-related family, member 3
mmu:12304	K09582 protein disulfide-isomerase A4 [EC:5.3.4.1] | (RefSeq) Pdia4, AI987846, Cai, ERp-72, Erp72; protein disulfide isomerase associated 4
mmu:73327	no KO assigned | (RefSeq) Pradc1, 1700040I03Rik, Pap21; protease-associated domain containing 1
mmu:667277	no KO assigned | (RefSeq) C1rb, Gm8551, mC1rB; complement component 1, r subcomponent B
mmu:12908	K00624 carnitine O-acetyltransferase [EC:2.3.1.7] | (RefSeq) Crat, AW107812, CARAT; carnitine acetyltransferase
mmu:93960	K03213 naked cuticle | (RefSeq) Nkd1, 2810434J10Rik, 9030215G15Rik, Nkd; naked cuticle 1 homolog (Drosophila)
mmu:23954	K20873 NIMA (never in mitosis gene a)-related kinase 3 [EC:2.7.11.1] | (RefSeq) Nek3; NIMA (never in mitosis gene a)-related expressed kinase 3
mmu:338364	K12031 tripartite motif-containing protein 65 | (RefSeq) Trim65, 4732463G12Rik; tripartite motif-containing 65
mmu:54189	K12480 Rab GTPase-binding effector protein 1 | (RefSeq) Rabep1, Rab5ep, rabaptin-5, rabaptin-5alpha; rabaptin, RAB GTPase binding effector protein 1
mmu:67963	K13443 Niemann-Pick C2 protein | (RefSeq) Npc2, 2700012J19Rik, AA408070, AU045843, HE1; Niemann-Pick type C2
mmu:108657	K09605 arginyl aminopeptidase-like 1 [EC:3.4.11.-] | (RefSeq) Rnpepl1, 1110014H17Rik, AI894167; arginyl aminopeptidase (aminopeptidase B)-like 1
mmu:12709	K00933 creatine kinase [EC:2.7.3.2] | (RefSeq) Ckb, B-CK, Bck, Ck-3, Ck3, Ckbb; creatine kinase, brain
mmu:66642	K12864 beta-catenin-like protein 1 | (RefSeq) Ctnnbl1, 5730471K09Rik, NAP, NYD-SP19, P14L; catenin, beta like 1
mmu:234683	K19241 engulfment and cell motility protein 3 | (RefSeq) Elmo3, 9930107J06, BC058752, CED-12, Ced12; engulfment and cell motility 3
mmu:628693	no KO assigned | (RefSeq) Gm6904, EG628693; predicted gene 6904
mmu:108030	K19931 protein lin-7 | (RefSeq) Lin7a, AI848705, LIN-7A, MALS-1, TIP-33, Veli, Veli1; lin-7 homolog A (C. elegans)
mmu:110391	K00357 dihydropteridine reductase [EC:1.5.1.34] | (RefSeq) Qdpr, 2610008L04Rik, D5Ertd371e, Dhpr, PKU2; quinoid dihydropteridine reductase
mmu:71715	K13117 ATP-dependent RNA helicase DDX35 [EC:3.6.4.13] | (RefSeq) Dhx35, 1200009D07Rik, Ddx35; DEAH (Asp-Glu-Ala-His) box polypeptide 35
mmu:66401	K01518 bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17] | (RefSeq) Nudt2, 2310051L06Rik, AA939917, APAH1; nudix (nucleoside diphosphate linked moiety X)-type motif 2
mmu:71865	K10307 F-box protein 30 | (RefSeq) Fbxo30, 1700026A16Rik, MUSA1; F-box protein 30
mmu:116891	K13989 Derlin-2/3 | (RefSeq) Derl2, CGI-101, Derlin-2, F-lana, Flana; Der1-like domain family, member 2
mmu:217258	K05650 ATP-binding cassette, subfamily A (ABC1), member 8 | (RefSeq) Abca8a; ATP-binding cassette, sub-family A (ABC1), member 8a
mmu:627872	K10408 dynein heavy chain, axonemal | (RefSeq) Dnah7a, Dnahc7, Dnahc7a, Gm992; dynein, axonemal, heavy chain 7A
mmu:239796	no KO assigned | (RefSeq) Mb21d2, 1600021P15Rik, A430031N04, C87006; Mab-21 domain containing 2
mmu:232714	K12047 maltase-glucoamylase [EC:3.2.1.20 3.2.1.3] | (RefSeq) Mgam, 6030407P20Rik, MGA; maltase-glucoamylase
mmu:381059	no KO assigned | (RefSeq) Gm1604b, Gm1604; predicted gene 1604b
mmu:231290	K14344 solute carrier family 10 (sodium/bile acid cotransporter), member 4 | (RefSeq) Slc10a4, E130304D01; solute carrier family 10 (sodium/bile acid cotransporter family), member 4
mmu:13426	K10415 dynein intermediate chain, cytosolic | (RefSeq) Dync1i1, DH_IC-1, DHIC-1, DIC, Dncic1, IC74; dynein cytoplasmic 1 intermediate chain 1
mmu:13143	K08803 death-associated protein kinase [EC:2.7.11.1] | (RefSeq) Dapk2; death-associated protein kinase 2
mmu:11855	K13709 Rho GTPase-activating protein 5 | (RefSeq) Arhgap5, p190-B, p190B; Rho GTPase activating protein 5
mmu:99738	K04890 potassium voltage-gated channel Shaw-related subfamily C member 4 | (RefSeq) Kcnc4, AI850292, KSHIIIC, Kcr2-4, Kv3.4; potassium voltage gated channel, Shaw-related subfamily, member 4
mmu:75767	K12484 Rab11 family-interacting protein 1/2/5 | (RefSeq) Rab11fip1, 2010200K21Rik, 4833414G05Rik, Rcp; RAB11 family interacting protein 1 (class I)
mmu:230936	no KO assigned | (RefSeq) Phf13, BC029632, Phf5, SPOC1; PHD finger protein 13
mmu:100503884	no KO assigned | (RefSeq) Ccdc149, Gm447; coiled-coil domain containing 149
mmu:60525	K01895 acetyl-CoA synthetase [EC:6.2.1.1] | (RefSeq) Acss2, 1110017C11Rik, ACAS, Acas1, Acas2, AceCS1, Acs1; acyl-CoA synthetase short-chain family member 2
mmu:67145	K17766 mitochondrial import receptor subunit TOM34 | (RefSeq) Tomm34, 2610100K07Rik, TOM34; translocase of outer mitochondrial membrane 34
mmu:71702	K12860 pre-mRNA-splicing factor CDC5/CEF1 | (RefSeq) Cdc5l, 1200002I02Rik, AA408004, PCDC5RP; cell division cycle 5-like (S. pombe)
mmu:230735	no KO assigned | (RefSeq) Epha10, A330090H18; Eph receptor A10
mmu:12369	K04397 caspase 7 [EC:3.4.22.60] | (RefSeq) Casp7, AI314680, CMH-1, ICE-IAP3, Mch3, caspase-7, mCASP-7; caspase 7
mmu:19218	K04260 prostaglandin E receptor 3 | (RefSeq) Ptger3, EP3, Pgerep3, Ptgerep3; prostaglandin E receptor 3 (subtype EP3)
mmu:380712	no KO assigned | (RefSeq) Tlcd2; TLC domain containing 2
mmu:67444	K17500 integrin-linked kinase-associated serine/threonine phosphatase 2C [EC:3.1.3.16] | (RefSeq) Ilkap, 0710007A14Rik, 1600009O09Rik, PP2C-DELTA; integrin-linked kinase-associated serine/threonine phosphatase 2C
mmu:53421	K10956 protein transport protein SEC61 subunit alpha | (RefSeq) Sec61a1, AA408394, AA410007, Sec61a; Sec61 alpha 1 subunit (S. cerevisiae)
mmu:380714	K19939 Rab effector Noc2 | (RefSeq) Rph3al, Gm1753, Noc2; rabphilin 3A-like (without C2 domains)
mmu:67442	K09516 all-trans-retinol 13,14-reductase [EC:1.3.99.23] | (RefSeq) Retsat, 0610039N19Rik, C80029, MMT-7, Ppsig; retinol saturase (all trans retinol 13,14 reductase)
mmu:66258	K02961 small subunit ribosomal protein S17 | (RefSeq) Mrps17, 1810006P02Rik, Mprs17; mitochondrial ribosomal protein S17
mmu:20853	K17597 double-stranded RNA-binding protein Staufen | (RefSeq) Stau1, 5830401L18Rik, AW549911, C85792, Stau; staufen (RNA binding protein) homolog 1 (Drosophila)
mmu:16181	K05481 interleukin 1 receptor antagonist | (RefSeq) Il1rn, F630041P17Rik, IL-1ra; interleukin 1 receptor antagonist
mmu:68195	K01166 ribonuclease T2 [EC:3.1.27.1] | (RefSeq) Rnaset2b, 0610007O07Rik, 4833423A10Rik, 4930532K22Rik, C79750, RNASE6PL, Rnaset2; ribonuclease T2B
mmu:16202	K06272 integrin-linked kinase [EC:2.7.11.1] | (RefSeq) Ilk, AA511515, ESTM24; integrin linked kinase
mmu:56322	K17790 mitochondrial import inner membrane translocase subunit TIM22 | (RefSeq) Timm22, Tim22; translocase of inner mitochondrial membrane 22
mmu:67569	K13748 alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145] | (RefSeq) Mgat4c, 9130411I17Rik, GntIVh; MGAT4 family, member C
mmu:384619	no KO assigned | (RefSeq) Ccdc155, Gm1434, KASH5; coiled-coil domain containing 155
mmu:12319	K01672 carbonic anhydrase [EC:4.2.1.1] | (RefSeq) Car8, AW546993, Ca8, Cals, Cals1, Carp, wdl; carbonic anhydrase 8
mmu:17434	K03635 molybdopterin synthase catalytic subunit [EC:2.8.1.12] | (RefSeq) Mocs2, AI415403; molybdenum cofactor synthesis 2
mmu:13388	K06051 delta | (RefSeq) Dll1, Delta1; delta-like 1 (Drosophila)
mmu:20657	K16627 superoxide dismutase, Cu-Zn family [EC:1.15.1.1] | (RefSeq) Sod3, AI314465, EC-SOD; superoxide dismutase 3, extracellular
mmu:99543	no KO assigned | (RefSeq) Olfml3, 2810002E22Rik, AI115209, AW550633, HNOEL-iso, ONT3, mONT3; olfactomedin-like 3
mmu:66659	K14395 lysophosphatidic acid phosphatase type 6 [EC:3.1.3.2] | (RefSeq) Acp6, 5730559A09Rik, ACPL1, AU022842, mPACPL1; acid phosphatase 6, lysophosphatidic
mmu:70422	K13139 integrator complex subunit 2 | (RefSeq) Ints2, 2810417D08Rik, AA408260, AI987735, mKIAA1287; integrator complex subunit 2
mmu:74448	K07961 ADP-ribosylation factor-like protein 13 | (RefSeq) Arl13a, 4933422M21Rik, Arl13; ADP-ribosylation factor-like 13A
mmu:381677	no KO assigned | (RefSeq) Vgf, Gm1052; VGF nerve growth factor inducible
mmu:232566	no KO assigned | (RefSeq) Amn1, 5830467E07Rik, A230083D09, C730024G19Rik; antagonist of mitotic exit network 1
mmu:76411	K19675 intraflagellar transport protein 43 | (RefSeq) Ift43, 1700019E19Rik, R75064; intraflagellar transport 43
mmu:72701	no KO assigned | (RefSeq) Zfp618, 2810031P15Rik, 2810040O04Rik, AI415580, AI505139, D430033D05Rik, Nedd10, Znf618, bM257P7.1; zinc finger protein 618
mmu:56491	K10707 vesicle-associated membrane protein-associated protein B | (RefSeq) Vapb, AI225786, AI840687, AI848259, D2Abb2e, R75548, VAP33b, Vamp33b; vesicle-associated membrane protein, associated protein B and C
mmu:69332	no KO assigned | (RefSeq) Lelp1, 1700012F11Rik; late cornified envelope-like proline-rich 1
mmu:100038725	K16766 centrosomal protein CEP85 | (RefSeq) Cep85l, Gm9766; centrosomal protein 85-like
mmu:238831	K12736 peptidylprolyl isomerase domain and WD repeat-containing protein 1 [EC:5.2.1.8] | (RefSeq) Ppwd1, 4632422M10Rik, A330090G21Rik; peptidylprolyl isomerase domain and WD repeat containing 1
mmu:14184	K05094 fibroblast growth factor receptor 3 [EC:2.7.10.1] | (RefSeq) Fgfr3, CD333, FR3, Fgfr-3, Flg-2, HBGFR, Mfr3, sam3; fibroblast growth factor receptor 3
mmu:12282	K09486 hypoxia up-regulated 1 | (RefSeq) Hyou1, AI415631, CBP-140, Cab140, Grp170, Orp150; hypoxia up-regulated 1
mmu:69834	K07930 Ras-related protein Rab-43 | (RefSeq) Rab43, 1810048P08Rik, 2500004H21Rik, AW490415; RAB43, member RAS oncogene family
mmu:434759	no KO assigned | (RefSeq) Rhox4c, Rhox4.3, Rhox4b; reproductive homeobox 4C
mmu:11512	K08046 adenylate cyclase 6 [EC:4.6.1.1] | (RefSeq) Adcy6, AC6, mKIAA0422; adenylate cyclase 6
mmu:71268	no KO assigned | (RefSeq) Lrrfip2, 5133400F20Rik, AI850587; leucine rich repeat (in FLII) interacting protein 2
mmu:216616	K18262 EGF-containing fibulin-like extracellular matrix protein 1 | (RefSeq) Efemp1; epidermal growth factor-containing fibulin-like extracellular matrix protein 1
mmu:11908	K09053 activating transcription factor 1 | (RefSeq) Atf1; activating transcription factor 1
mmu:218397	K04352 Ras GTPase-activating protein 1 | (RefSeq) Rasa1, Gap, RasGAP, Rasa; RAS p21 protein activator 1
mmu:666040	no KO assigned | (RefSeq) Gm7903, EG666040; predicted gene 7903
mmu:268527	no KO assigned | (RefSeq) Greb1, 5730583K22Rik, 9130004E13, AF180470, AU023194, mKIAA0575; gene regulated by estrogen in breast cancer protein
mmu:75292	K06070 protein kinase D [EC:2.7.11.13] | (RefSeq) Prkd3, 4930557O20Rik, 5730497N19Rik, PKD3, Pkcnu, Prkcn; protein kinase D3
mmu:360213	K12022 tripartite motif-containing protein 46 | (RefSeq) Trim46, TRIFIC; tripartite motif-containing 46
mmu:433693	no KO assigned | (RefSeq) Akirin2, 2700059D21Rik, AA114675, AA522011, AU019887, Akirin-2; akirin 2
mmu:50766	no KO assigned | (RefSeq) Crim1, AU015004; cysteine rich transmembrane BMP regulator 1 (chordin like)
mmu:18553	K08672 proprotein convertase subtilisin/kexin type 6 [EC:3.4.21.-] | (RefSeq) Pcsk6, C86343, Pace4, SPC4; proprotein convertase subtilisin/kexin type 6
mmu:665001	K09228 KRAB domain-containing zinc finger protein | (RefSeq) Gm14391, OTTMUSG00000016543; predicted gene 14391
mmu:20878	K11481 aurora kinase A [EC:2.7.11.1] | (RefSeq) Aurka, AIRK1, ARK-1, AU019385, AW539821, Ark1, Aurora-A, Ayk1, IAK, IAK1, Stk6; aurora kinase A
mmu:84704	no KO assigned | (RefSeq) Snurf, 2410045I01Rik, Snrpn; SNRPN upstream reading frame
mmu:13531	K11845 ubiquitin carboxyl-terminal hydrolase 17 [EC:3.4.19.12] | (RefSeq) Usp17la, Dub1, USP17-A; ubiquitin specific peptidase 17-like A
mmu:76651	no KO assigned | (RefSeq) 1700122O11Rik; RIKEN cDNA 1700122O11 gene
mmu:13205	K11594 ATP-dependent RNA helicase DDX3X [EC:3.6.4.13] | (RefSeq) Ddx3x, D1Pas1-rs2, Ddx3, Fin14; DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked
mmu:17714	K03687 molecular chaperone GrpE | (RefSeq) Grpel2, mt-GrpE#2, mt-Grpel2; GrpE-like 2, mitochondrial
mmu:214230	K05735 p21-activated kinase 6 [EC:2.7.11.1] | (RefSeq) Pak6, 4732456M09; p21 protein (Cdc42/Rac)-activated kinase 6
mmu:241494	no KO assigned | (RefSeq) Zfp385b, B830010L13Rik, C130013B13Rik, Zfp533, Znf385b; zinc finger protein 385B
mmu:14297	K19054 frataxin [EC:1.16.3.1] | (RefSeq) Fxn, FA, FARR, Frda, X25; frataxin
mmu:17258	K09260 MADS-box transcription enhancer factor 2A | (RefSeq) Mef2a, A430079H05Rik; myocyte enhancer factor 2A
mmu:212163	no KO assigned | (RefSeq) 8030462N17Rik, Akd2, Ark2N; RIKEN cDNA 8030462N17 gene
mmu:214547	no KO assigned | (RefSeq) She, 9430022A14; src homology 2 domain-containing transforming protein E
